asset_id,production_pct,production_delay_days,supplier_reliability,ts,source
A1053,100,0,0.8891,1785555297.856126,production_system
A1054,80,2.47,0.7362,1787014635.8561301,production_system
A1055,69,7.84,0.6372,1786266919.856134,production_system
A1056,59,7.31,0.8197,1786641771.856138,production_system
A1057,35,4.55,0.7304,1785997196.856142,production_system
A1058,100,6.56,0.9342,1787542826.856147,production_system
A1059,64,0,0.7432,1786114265.856151,production_system
A1060,100,2.03,0.8755,1786465102.8561559,production_system
A1061,57,7.84,0.8491,1785903588.85616,production_system
A1062,80,4.34,0.6317,1787767097.856164,production_system
A1063,42,2.9,0.6669,1786337867.8561668,production_system
A1064,60,0,0.6819,1787001062.856171,production_system
A1065,79,9.54,0.4608,1786057986.8561761,production_system
A1066,77,9.43,0.9442,1785781514.856179,production_system
A1067,69,5.78,0.8767,1786854070.856183,production_system
A1068,100,2.86,0.9282,1787773635.8561869,production_system
A1069,67,7.48,0.7287,1786272544.856191,production_system
A1070,84,1.6,0.7648,1786070470.856195,production_system
A1071,92,8.56,0.8655,1786330149.856199,production_system
A1072,53,9.73,0.8584,1786837022.856203,production_system
A1073,71,13.42,0.8579,1786416148.8562071,production_system
A1074,100,6.96,0.8017,1787379682.856212,production_system
A1075,78,3.57,0.5686,1785813612.856216,production_system
A1076,49,2.2,0.7779,1786658082.85622,production_system
A1077,94,5.94,0.8239,1786043014.856225,production_system
A1078,54,11.36,0.8176,1787022775.856229,production_system
A1079,89,5.65,0.9443,1785626371.856233,production_system
A1080,100,7.17,0.9101,1785772117.8562372,production_system
A1081,94,3.82,0.7767,1787838590.856241,production_system
A1082,75,8.97,0.7279,1787678330.856246,production_system
A1083,58,0,0.8119,1786723785.85625,production_system
A1084,79,10.14,0.5344,1785560682.8562539,production_system
A1085,100,1.6,0.8854,1786588882.856259,production_system
A1086,29,10.33,0.9905,1786519888.8562639,production_system
A1087,43,0,0.8625,1786145639.856268,production_system
A1088,32,0,0.7252,1787454279.856273,production_system
A1089,100,3.19,0.6696,1787601170.856277,production_system
A1090,74,0,0.8351,1785577791.85628,production_system
A1091,93,0,0.4038,1786358154.8562849,production_system
A1092,51,0,0.8003,1786901416.856289,production_system
A1093,100,0,0.8679,1787330185.8562932,production_system
A1094,100,0.42,0.751,1786498576.856298,production_system
A1095,82,6.4,0.662,1786928134.856301,production_system
A1096,84,2.13,0.8275,1786675094.8563058,production_system
A1097,94,1.74,0.8431,1785970594.856309,production_system
A1098,64,8.12,0.7427,1785611994.856313,production_system
A1099,100,0.68,0.8339,1787288092.856318,production_system
A1100,55,3.24,0.8853,1787187657.856322,production_system
A1101,100,2.67,0.4798,1787536587.8563251,production_system
A1102,95,2.97,0.8427,1787877482.85633,production_system
A1103,56,0,0.9545,1787725137.856334,production_system
A1104,100,0,0.755,1786891471.856338,production_system
A1105,55,1.54,0.8039,1785593390.856342,production_system
A1106,45,0,0.8701,1785908543.8563461,production_system
A1107,78,4.77,0.9439,1785916044.85635,production_system
A1108,78,0,0.8512,1786014173.856354,production_system
A1109,100,0,0.6456,1785637743.8563578,production_system
A1110,100,7.69,0.908,1785779625.8563619,production_system
A1111,42,0.56,0.7181,1786587553.856367,production_system
A1112,76,1.91,0.5934,1786116253.856371,production_system
A1113,48,5.49,0.6112,1785432079.856375,production_system
A1114,42,6.04,0.8261,1786178135.8563788,production_system
A1115,100,0.75,0.6719,1785877109.856383,production_system
A1116,99,8.83,0.8273,1785661604.856386,production_system
A1117,94,9.89,0.6733,1787236179.856392,production_system
A1118,66,5.05,0.7202,1787392949.856396,production_system
A1119,96,0,0.9913,1786009481.856401,production_system
A1120,81,1.98,0.5816,1787258926.856405,production_system
A1121,78,3.13,0.471,1787539039.856409,production_system
A1122,64,5.55,0.7294,1786345108.856413,production_system
A1123,90,0,0.6072,1786616833.856417,production_system
A1124,60,0,0.5956,1785871047.8564212,production_system
A1125,94,9.53,0.7884,1786166553.856426,production_system
A1126,59,0,0.7266,1787675081.856431,production_system
A1127,51,0,0.8788,1787429991.856435,production_system
A1128,84,8.77,0.9535,1787736848.856439,production_system
A1129,42,5.49,0.8494,1787438753.8564422,production_system
A1130,66,0,0.7645,1785657921.856447,production_system
A1131,62,3.94,0.9255,1787545774.856451,production_system
A1132,78,0,0.8648,1786291394.8564548,production_system
A1133,100,0,0.8984,1785416322.856459,production_system
A1134,50,0,0.8623,1787419345.8564632,production_system
A1135,68,10.28,0.9461,1787213359.856467,production_system
A1136,100,6.05,0.9595,1787088570.856471,production_system
A1137,100,9.32,0.9693,1785497329.8564749,production_system
A1138,62,5.48,0.931,1785465564.856479,production_system
A1139,62,5.92,0.994,1787370644.856483,production_system
A1140,76,1.4,0.8347,1786096398.8564868,production_system
A1141,78,9.4,0.7713,1786528935.856492,production_system
A1142,62,7.01,0.8401,1786210234.856496,production_system
A1143,100,8.32,0.6998,1786518489.8565,production_system
A1144,46,6.84,0.6261,1786433330.856504,production_system
A1145,76,0,0.7918,1786397374.856508,production_system
A1146,100,4.89,0.609,1785533819.856512,production_system
A1147,100,0,0.8739,1787074646.8565161,production_system
A1148,51,3.65,0.9317,1786750396.856521,production_system
A1149,100,9.27,0.8224,1787843894.856525,production_system
A1150,16,5.16,0.8185,1785889583.856529,production_system
A1151,100,5.64,0.9231,1787412796.856533,production_system
A1152,31,0,0.5742,1786810938.856537,production_system
A1153,50,0,0.8483,1785477240.856541,production_system
A1154,85,0,0.7448,1787687026.856545,production_system
A1155,48,0,0.8282,1786446711.856549,production_system
A1156,49,6.73,0.8298,1785955183.856554,production_system
A1157,100,8.07,0.4621,1786616148.856558,production_system
A1158,96,14.53,0.7085,1786335411.856562,production_system
A1159,39,4.28,0.7361,1787733400.856566,production_system
A1160,68,5.91,0.7913,1786351485.856571,production_system
A1161,62,10.48,0.6525,1786193674.856575,production_system
A1162,100,4.7,0.6981,1787555452.856579,production_system
A1163,84,0,0.78,1787884588.8565829,production_system
A1164,94,18.59,0.7991,1787365763.8565881,production_system
A1165,100,0.77,0.8718,1787666706.856592,production_system
A1166,100,6.39,0.6234,1787890714.856597,production_system
A1167,50,0.33,0.5301,1786064417.856601,production_system
A1168,100,13.29,0.6377,1786426589.8566048,production_system
A1169,100,0,0.8772,1787042509.856611,production_system
A1170,100,6.96,0.8447,1785523724.8566148,production_system
A1171,92,0,0.6284,1785628467.8566191,production_system
A1172,100,9.11,0.696,1786164340.8566232,production_system
A1173,92,3.61,0.9514,1785362609.856627,production_system
A1174,75,12.02,0.5723,1785475290.856632,production_system
A1175,60,0,0.8525,1787775634.8566358,production_system
A1176,45,0,0.9228,1786554736.856642,production_system
A1177,46,0,0.7215,1785785988.8566458,production_system
A1178,97,0.59,0.7469,1787280263.856651,production_system
A1179,100,4.45,0.6815,1785461738.8566551,production_system
A1180,100,0.04,0.908,1787320860.856658,production_system
A1181,100,2.84,0.5801,1787260865.856663,production_system
A1182,40,0,0.611,1787643157.8566668,production_system
A1183,77,0,0.9053,1785998230.856671,production_system
A1184,94,0,0.8944,1785446765.8566751,production_system
A1185,63,0,0.9261,1785904396.85668,production_system
A1186,100,7.98,0.6408,1785491000.856684,production_system
A1187,60,8.09,0.5004,1787055989.856688,production_system
A1188,60,4.76,0.6732,1785521285.856692,production_system
A1189,86,7.49,0.8086,1785786285.8566961,production_system
A1190,41,4.42,0.6442,1787530689.8567,production_system
A1191,61,0,0.804,1786165725.856704,production_system
A1192,83,0,0.803,1785553158.856708,production_system
A1193,67,0,0.6155,1786066402.8567119,production_system
A1194,76,3.66,0.9289,1787589446.856716,production_system
A1195,86,0.07,0.6827,1785337663.85672,production_system
A1196,97,4.71,0.7633,1786786999.856724,production_system
A1197,98,0,0.8349,1785559456.856728,production_system
A1198,100,2.5,0.8794,1786909089.856731,production_system
A1199,87,7.72,0.9099,1786446269.856735,production_system
A1200,100,8.56,0.632,1785814023.85674,production_system
A1201,60,5.85,0.8614,1786385177.856745,production_system
A1202,55,7.2,0.7477,1786684722.85675,production_system
A1203,19,0.18,0.8912,1785520056.8567538,production_system
A1204,69,1.35,0.8003,1787245681.856758,production_system
A1205,100,6.13,0.8734,1787610941.8567622,production_system
A1206,100,14.19,0.8897,1787802906.856767,production_system
A1207,100,0.5,0.7946,1786469027.856771,production_system
A1208,89,0,0.6943,1786703750.8567748,production_system
A1209,94,0,0.6189,1786214912.856779,production_system
A1210,100,6.75,0.7626,1786550793.8567839,production_system
A1211,100,0,0.7614,1786318257.856788,production_system
A1212,100,13.58,0.9658,1786268616.856792,production_system
A1213,100,3.98,0.8811,1785594065.8567958,production_system
A1214,62,7.49,0.5654,1787643467.856801,production_system
A1215,71,4.96,0.5155,1785353884.856805,production_system
A1216,84,0,0.8589,1787863069.856809,production_system
A1217,74,9.84,0.9138,1785534287.856813,production_system
A1218,72,3.52,0.7649,1786603301.856817,production_system
A1219,60,1.27,0.6854,1785606525.856822,production_system
A1220,88,0.68,0.6468,1785421376.856826,production_system
A1221,100,0,0.5726,1786611046.85683,production_system
A1222,72,1.74,0.7529,1785820358.856834,production_system
A1223,38,0,0.9158,1786407513.856838,production_system
A1224,82,0,0.7158,1786711318.856842,production_system
A1225,77,0,0.9547,1786857295.856846,production_system
A1226,73,6.97,0.7241,1785595063.8568509,production_system
A1227,65,11.47,0.8422,1786484401.8568552,production_system
A1228,68,6.41,0.6969,1787342283.856859,production_system
A1229,60,0,0.7686,1786678022.856863,production_system
A1230,76,8.37,0.9116,1785814654.856867,production_system
A1231,100,10.14,0.9153,1786146258.856871,production_system
A1232,100,0,0.9586,1787136066.856875,production_system
A1233,36,0,0.8523,1787842268.8568802,production_system
A1234,100,2.97,0.7101,1786336863.856884,production_system
A1235,98,0,0.8151,1787870353.856888,production_system
A1236,37,10.99,0.8635,1787789137.8568919,production_system
A1237,62,0,0.9694,1786404464.856896,production_system
A1238,100,0,0.7446,1786137564.8569002,production_system
A1239,86,0,0.7187,1785362368.856904,production_system
A1240,49,4.84,0.6895,1787118596.856908,production_system
A1241,94,1.06,0.8847,1785600175.856912,production_system
A1242,100,4.07,0.8818,1787575500.856916,production_system
A1243,100,0,0.8687,1787505860.85692,production_system
A1244,39,0,0.9118,1786786404.8569238,production_system
A1245,99,1.11,0.6624,1787708795.856928,production_system
A1246,43,0,0.6245,1785971889.856933,production_system
A1247,76,0,0.7392,1786216386.856938,production_system
A1248,69,7.0,0.7144,1785644845.8569422,production_system
A1249,78,5.12,0.6675,1786555507.8569448,production_system
A1250,94,4.81,0.8969,1785544044.856949,production_system
A1251,87,0,0.9344,1786601634.856954,production_system
A1252,82,6.31,0.711,1785386395.856958,production_system
A1253,100,1.89,0.8127,1786404426.856962,production_system
A1254,63,4.92,0.8034,1786017197.856967,production_system
A1255,100,0.51,0.8637,1786747364.856971,production_system
A1256,7,0,0.7613,1786512348.856975,production_system
A1257,47,2.84,0.6237,1786346557.856979,production_system
A1258,100,10.24,0.7096,1785455868.8569841,production_system
A1259,89,5.41,0.8909,1787414736.856988,production_system
A1260,100,5.08,0.9088,1786780129.856993,production_system
A1261,97,0,0.8201,1787612110.856997,production_system
A1262,95,0.44,0.8599,1785674092.857001,production_system
A1263,73,0,0.6854,1787076807.8570051,production_system
A1264,100,11.25,0.539,1785710850.857009,production_system
A1265,18,3.2,0.6387,1786918072.857013,production_system
A1266,65,9.23,0.4832,1786561617.857017,production_system
A1267,88,4.91,0.8828,1787267090.8570209,production_system
A1268,72,0.36,0.8344,1785424211.857025,production_system
A1269,99,0,0.627,1787466946.8570292,production_system
A1270,62,3.44,0.9419,1785442765.857033,production_system
A1271,58,9.5,0.7693,1786307775.857037,production_system
A1272,75,8.07,0.7425,1785511139.857041,production_system
A1273,81,5.56,0.9358,1786143251.8570461,production_system
A1274,52,7.3,0.4965,1786042616.8570502,production_system
A1275,79,5.38,0.7875,1786520751.857054,production_system
A1276,100,5.67,0.5159,1786821776.857058,production_system
A1277,31,5.0,0.6909,1787153144.8570619,production_system
A1278,64,0,0.8409,1786713246.857066,production_system
A1279,76,8.67,0.8374,1786376085.85707,production_system
A1280,88,5.93,0.8169,1787061073.857074,production_system
A1281,95,0.75,0.6094,1786689101.857078,production_system
A1282,74,9.85,0.7239,1787687129.8570821,production_system
A1283,100,3.71,0.7133,1786368589.857086,production_system
A1284,100,1.51,0.9645,1787561378.8570912,production_system
A1285,99,2.99,0.8767,1786834209.857096,production_system
A1286,81,11.2,0.7762,1787430786.857101,production_system
A1287,46,0,0.9096,1786595274.857106,production_system
A1288,74,3.64,0.7986,1786192679.857111,production_system
A1289,85,0.85,0.7309,1786974834.8571148,production_system
A1290,100,3.0,0.9098,1785471371.857119,production_system
A1291,100,5.89,0.889,1787229886.8571231,production_system
A1292,100,5.95,0.8554,1785609975.857128,production_system
A1293,48,4.86,0.7724,1786102207.857132,production_system
A1294,90,4.37,0.7959,1786431576.857136,production_system
A1295,98,6.31,0.9774,1787295333.85714,production_system
A1296,25,1.04,0.6502,1786326896.857144,production_system
A1297,100,7.18,0.6936,1785950641.857148,production_system
A1298,44,15.14,0.6541,1786422655.857152,production_system
A1299,100,0,0.8713,1786611999.857156,production_system
A1300,71,8.97,0.5478,1786741500.8571599,production_system
A1301,100,0,0.9314,1786120198.8571641,production_system
A1302,100,2.9,0.7578,1785575892.857168,production_system
A1303,80,6.45,0.6915,1786237231.857172,production_system
A1304,100,0,0.6413,1785890988.857175,production_system
A1305,94,0.99,0.8152,1785868090.857179,production_system
A1306,100,1.02,0.7264,1787469362.857183,production_system
A1307,84,2.13,0.8844,1786867771.857188,production_system
A1308,33,0.0,0.8515,1786168025.857192,production_system
A1309,24,3.22,0.8811,1785451672.857197,production_system
A1310,87,1.17,0.8466,1785978406.8572009,production_system
A1311,86,3.85,0.6103,1785877665.857205,production_system
A1312,66,0,0.8692,1786327460.8572092,production_system
A1313,78,2.63,0.7247,1787234285.857214,production_system
A1314,84,0,0.7553,1786122582.857218,production_system
A1315,93,2.76,0.879,1786023173.8572218,production_system
A1316,87,5.92,0.814,1787533212.857226,production_system
A1317,82,0,0.8646,1787045820.8572302,production_system
A1318,82,1.88,0.7523,1787433715.857234,production_system
A1319,56,8.07,0.8243,1786097184.857238,production_system
A1320,51,4.65,0.7428,1786882228.857242,production_system
A1321,55,13.87,0.6882,1787601011.857246,production_system
A1322,59,6.9,0.7531,1787460972.85725,production_system
A1323,100,4.28,0.8762,1787146475.857253,production_system
A1324,50,6.66,0.8962,1785915923.857257,production_system
A1325,86,0,0.7362,1786970473.857261,production_system
A1326,93,2.18,0.7687,1785403366.857266,production_system
A1327,100,0.71,0.9345,1787519936.85727,production_system
A1328,87,0.64,0.7199,1787740182.857274,production_system
A1329,82,0,0.7298,1787288793.857279,production_system
A1330,100,0,0.8082,1785710842.857284,production_system
A1331,62,7.74,0.5894,1787787574.857288,production_system
A1332,100,2.22,0.8323,1786495070.8572931,production_system
A1333,100,9.49,0.9617,1786920104.857297,production_system
A1334,58,5.09,0.6763,1786455736.857301,production_system
A1335,58,9.54,0.6353,1785714281.857305,production_system
A1336,34,0,0.6885,1787260123.8573089,production_system
A1337,100,5.31,0.3908,1785639419.857314,production_system
A1338,83,0,0.7323,1787543342.857318,production_system
A1339,100,7.27,0.8232,1785544178.857322,production_system
A1340,74,9.46,0.747,1786524475.857326,production_system
A1341,41,1.32,0.7178,1786604405.8573298,production_system
A1342,87,0.62,0.9658,1786814219.857334,production_system
A1343,82,5.42,0.8119,1786447603.857339,production_system
A1344,70,7.35,0.6761,1786033519.857343,production_system
A1345,67,1.87,0.9426,1785395876.8573482,production_system
A1346,64,3.06,0.9721,1787909628.857352,production_system
A1347,100,3.21,0.5869,1787113273.857356,production_system
A1348,85,6.24,0.7744,1787742572.85736,production_system
A1349,41,0.73,0.8034,1787833450.857364,production_system
A1350,100,7.87,0.8525,1786353047.857368,production_system
A1351,100,3.17,0.7888,1786045012.8573718,production_system
A1352,82,0,0.5984,1787369315.857376,production_system
A1353,81,7.58,0.8916,1786176504.8573802,production_system
A1354,57,13.77,0.9115,1785841472.857384,production_system
A1355,100,4.93,0.8935,1787759006.857388,production_system
A1356,100,11.04,0.7628,1787206421.8573928,production_system
A1357,76,0.5,0.9299,1787416351.857397,production_system
A1358,63,9.38,0.8239,1786824876.8574011,production_system
A1359,76,0,0.82,1785988144.857405,production_system
A1360,55,6.79,0.9017,1786872881.85741,production_system
A1361,74,0.75,0.6702,1786257898.857414,production_system
A1362,38,0,0.9133,1786360750.8574169,production_system
A1363,66,0,0.9693,1787287729.8574212,production_system
A1364,61,0.7,0.6223,1787837788.857425,production_system
A1365,25,0,0.7928,1787284380.85743,production_system
A1366,79,0,0.7406,1786281205.857435,production_system
A1367,55,0,0.7546,1787491013.857439,production_system
A1368,97,0.88,0.7484,1787656949.857443,production_system
A1369,100,8.37,0.5344,1787171621.857447,production_system
A1370,81,2.2,0.8392,1786353783.857451,production_system
A1371,71,0.42,0.6798,1786126896.857455,production_system
A1372,54,0,0.7603,1786890043.85746,production_system
A1373,98,12.56,0.7701,1787854181.857465,production_system
A1374,100,0,0.6816,1786600503.8574688,production_system
A1375,98,14.35,0.9339,1785873859.8574731,production_system
A1376,62,10.14,0.7267,1786753500.8574772,production_system
A1377,53,0,0.7938,1786860397.857481,production_system
A1378,58,9.46,0.5165,1786339587.857485,production_system
A1379,69,0,0.8241,1786326952.8574889,production_system
A1380,91,0,0.9703,1786260821.857493,production_system
A1381,62,0.01,0.6092,1786632890.857497,production_system
A1382,81,2.94,0.9201,1787142934.857501,production_system
A1383,99,10.85,0.9539,1785503803.857505,production_system
A1384,88,2.19,0.8506,1786345082.8575091,production_system
A1385,85,4.8,0.8103,1787869804.857513,production_system
A1386,37,7.4,0.5971,1787403267.8575182,production_system
A1387,100,0,0.8944,1786749250.857522,production_system
A1388,61,0,0.9469,1785568377.857526,production_system
A1389,59,4.46,0.8664,1786588077.85753,production_system
A1390,80,1.34,0.4995,1785427670.857534,production_system
A1391,57,5.34,0.4464,1787719077.857538,production_system
A1392,30,3.55,0.7519,1786667778.857543,production_system
A1393,100,8.12,0.7296,1787436568.857547,production_system
A1394,88,5.89,0.8226,1786763617.857551,production_system
A1395,77,0,0.8408,1786695330.857555,production_system
A1396,38,0,0.7361,1787188996.857559,production_system
A1397,59,0.9,0.8502,1785725735.857564,production_system
A1398,76,2.25,0.7214,1787590364.857568,production_system
A1399,54,4.79,0.7178,1787603595.857572,production_system
A1400,25,8.05,0.7408,1785626221.8575768,production_system
A1401,100,0,0.7491,1787721426.8575811,production_system
A1402,66,0,0.9229,1787557629.857586,production_system
A1403,100,0,0.6819,1786900797.85759,production_system
A1404,92,0,0.9049,1787045893.857594,production_system
A1405,92,0,0.8177,1786479917.857598,production_system
A1406,79,2.43,0.8075,1787925987.857604,production_system
A1407,100,0,0.9136,1785838209.8576078,production_system
A1408,78,11.54,0.9033,1786816229.8576121,production_system
A1409,100,1.3,0.8562,1786231228.857616,production_system
A1410,68,4.5,0.6047,1786746483.85762,production_system
A1411,16,8.54,0.8705,1785474311.857624,production_system
A1412,36,4.57,0.4862,1786382791.8576288,production_system
A1413,59,0.11,0.8481,1787238123.857633,production_system
A1414,74,6.55,0.8785,1785627268.8576362,production_system
A1415,62,5.66,0.8823,1786574338.857641,production_system
A1416,100,0,0.9326,1786371768.857646,production_system
A1417,59,0,0.7346,1787519145.8576498,production_system
A1418,95,3.86,0.9325,1787565187.857654,production_system
A1419,100,4.67,0.9263,1786729236.8576581,production_system
A1420,91,3.62,0.6715,1786471121.857663,production_system
A1421,100,5.72,0.8649,1786303076.857667,production_system
A1422,71,0,0.7506,1787552003.857671,production_system
A1423,78,0,0.8167,1787694439.857675,production_system
A1424,83,2.6,0.5324,1787160013.8576791,production_system
A1425,66,3.79,0.6491,1786996929.857683,production_system
A1426,81,10.59,0.8929,1787237433.857687,production_system
A1427,83,9.01,0.7006,1786917118.8576908,production_system
A1428,87,2.27,0.8466,1785822473.8576949,production_system
A1429,100,2.77,0.8748,1787771730.8577,production_system
A1430,57,3.81,0.6972,1787191595.857704,production_system
A1431,100,7.96,0.4365,1787600172.857708,production_system
A1432,77,8.36,0.8025,1786454405.857712,production_system
A1433,100,0,0.8389,1787311227.857716,production_system
A1434,68,2.02,0.8957,1786189915.8577201,production_system
A1435,83,2.73,0.5955,1785505996.857725,production_system
A1436,85,3.55,0.8054,1787033386.857729,production_system
A1437,47,3.97,0.7437,1785730823.857733,production_system
A1438,44,0,0.9637,1787552788.857737,production_system
A1439,42,2.01,0.4769,1787889658.857741,production_system
A1440,84,0,0.4791,1786534087.857745,production_system
A1441,100,1.75,0.7906,1785616903.85775,production_system
A1442,77,7.48,0.7714,1786944890.857753,production_system
A1443,100,6.11,0.8357,1787074457.857758,production_system
A1444,54,0,0.5085,1785740384.857762,production_system
A1445,33,7.29,0.9092,1785987833.857766,production_system
A1446,52,4.62,0.7375,1786595428.857771,production_system
A1447,70,6.8,0.9757,1786124178.8577752,production_system
A1448,72,8.9,0.8622,1785535842.857779,production_system
A1449,100,0,0.6487,1785999145.857783,production_system
A1450,80,10.96,0.7411,1785866753.857787,production_system
A1451,100,0,0.9607,1786547451.857792,production_system
A1452,100,0,0.7905,1786592962.8577962,production_system
A1453,97,1.15,0.7237,1787486706.8578,production_system
A1454,63,6.53,0.6624,1787470148.857804,production_system
A1455,100,11.45,0.8616,1786177892.8578079,production_system
A1456,97,9.02,0.8664,1786249911.857812,production_system
A1457,76,0.4,0.9343,1787160977.8578181,production_system
A1458,69,16.15,0.6568,1787303143.857822,production_system
A1459,93,6.19,0.6906,1787470202.857826,production_system
A1460,100,7.52,0.5908,1785733149.8578298,production_system
A1461,98,14.14,0.6798,1785723555.857835,production_system
A1462,25,1.34,0.5095,1787575232.857839,production_system
A1463,96,1.49,0.7542,1786597778.857843,production_system
A1464,100,4.02,0.7887,1785982233.857847,production_system
A1465,45,0,0.8284,1785766872.8578508,production_system
A1466,88,0.17,0.9577,1785582151.857854,production_system
A1467,56,0,0.9655,1785907090.8578591,production_system
A1468,100,0,0.6696,1786732719.857863,production_system
A1469,51,1.68,0.9436,1785959012.857867,production_system
A1470,46,0,0.9299,1787389521.8578718,production_system
A1471,100,3.69,0.6073,1786163313.857876,production_system
A1472,54,3.6,0.7919,1787106493.85788,production_system
A1473,98,5.4,0.914,1785831638.857884,production_system
A1474,86,6.4,0.9322,1786870785.857888,production_system
A1475,84,0,0.936,1787105751.857892,production_system
A1476,83,7.3,0.5179,1787403743.8578959,production_system
A1477,100,5.2,0.8209,1785641798.857901,production_system
A1478,100,4.5,0.9068,1787397272.857905,production_system
A1479,49,1.08,0.6708,1786064807.857908,production_system
A1480,100,6.37,0.7666,1787403114.857912,production_system
A1481,100,11.54,0.7311,1786077203.8579159,production_system
A1482,85,1.63,0.7397,1786487932.85792,production_system
A1483,54,3.19,0.9463,1786867228.8579252,production_system
A1484,74,7.31,0.8097,1786832963.85793,production_system
A1485,100,0,0.7274,1787861152.857933,production_system
A1486,99,1.64,0.4994,1786367885.8579378,production_system
A1487,83,1.91,0.8048,1786337551.857942,production_system
A1488,86,1.61,0.8519,1786978331.8579462,production_system
A1489,100,8.07,0.8166,1786496101.857951,production_system
A1490,53,5.81,0.5311,1787217778.857955,production_system
A1491,9,2.72,0.6796,1786035153.8579588,production_system
A1492,100,4.19,0.7979,1786681586.857963,production_system
A1493,100,6.51,0.8776,1786105806.8579671,production_system
A1494,88,1.19,0.8767,1786059427.857972,production_system
A1495,8,5.39,0.8852,1786019590.857976,production_system
A1496,70,0,0.9204,1786739848.85798,production_system
A1497,75,1.37,0.7378,1786956125.857984,production_system
A1498,100,2.8,0.8623,1786488906.857988,production_system
A1499,100,0,0.9051,1787024821.858082,production_system
A1500,41,2.09,0.971,1786442223.8580868,production_system
A1501,69,8.27,0.8063,1787769400.858092,production_system
A1502,33,3.15,0.7926,1786585348.8580961,production_system
A1503,93,1.82,0.974,1786361781.8581,production_system
A1504,100,2.57,0.9075,1785740634.858104,production_system
A1505,37,0,0.7896,1786596870.8581078,production_system
A1506,56,2.63,0.7668,1786257128.858112,production_system
A1507,61,2.46,0.7633,1787368303.8581161,production_system
A1508,52,3.68,0.738,1787858693.858121,production_system
A1509,97,0,0.8747,1786551164.858125,production_system
A1510,100,6.11,0.7142,1785826431.8581288,production_system
A1511,77,0,0.9198,1785883955.858133,production_system
A1512,100,0,0.8084,1786565531.8581371,production_system
A1513,76,11.06,0.5517,1785861487.858141,production_system
A1514,100,8.18,0.8932,1786551458.858145,production_system
A1515,100,0.16,0.7255,1786630838.858149,production_system
A1516,82,5.7,0.5991,1787719452.858154,production_system
A1517,77,0,0.8323,1787231734.8581572,production_system
A1518,59,0,0.8504,1787793254.858162,production_system
A1519,62,9.47,0.7276,1785364097.858166,production_system
A1520,84,5.04,0.7496,1785448415.85817,production_system
A1521,66,3.97,0.9318,1786104938.858175,production_system
