po_id,asset_id,product_name,quantity,buyer_id,supplier_id,lender_id,agreed_price,buyer_risk_score,buyer_payment_history,supplier_reliability,payment_terms_days,created_ts,source
PO10027,A1027,auto components,35769,buyer_epsilon,supplier_10,lender_delta,579.25,0.5161,0.738,0.8155,60,1786830748.856014,erp
PO10028,A1028,LED panels,46452,buyer_zeta,supplier_05,lender_atlas,684.72,0.3493,0.7973,0.8456,45,1786630035.8560178,erp
PO10029,A1029,LED panels,35294,buyer_zeta,supplier_08,lender_atlas,533.58,0.3365,0.8554,0.8955,90,1786754633.8560221,erp
PO10030,A1030,auto components,13221,buyer_epsilon,supplier_02,lender_atlas,303.88,0.2349,0.8638,0.9088,30,1787277967.8560278,erp
PO10031,A1031,textile rolls,6082,buyer_gamma,supplier_10,lender_north,177.4,0.3174,0.8039,0.6869,45,1787029253.856032,erp
PO10032,A1032,smartphones,10792,buyer_epsilon,supplier_11,lender_north,241.62,0.3009,0.8325,0.8389,45,1786131194.8560379,erp
PO10033,A1033,laptop batteries,42943,buyer_beta,supplier_09,lender_north,1093.76,0.099,0.6328,0.9562,60,1785382198.856042,erp
PO10034,A1034,smartphones,15502,buyer_epsilon,supplier_01,lender_prime,1199.5,0.5849,0.7352,0.8329,30,1787239808.856046,erp
PO10035,A1035,medical devices,32971,buyer_zeta,supplier_07,lender_atlas,808.6,0.2901,0.9624,0.8214,60,1785610762.856051,erp
PO10036,A1036,steel coils,46260,buyer_gamma,supplier_05,lender_delta,180.85,0.1555,0.8564,0.7739,90,1785933723.856055,erp
PO10037,A1037,LED panels,9979,buyer_delta,supplier_08,lender_delta,261.11,0.4431,0.8782,0.792,45,1786041401.8560588,erp
PO10038,A1038,textile rolls,36670,buyer_theta,supplier_06,lender_delta,568.2,0.1598,0.9373,0.8535,45,1785836798.856063,erp
PO10039,A1039,LED panels,39178,buyer_alpha,supplier_03,lender_atlas,1048.85,0.2252,0.8177,0.6704,90,1786586183.8560672,erp
PO10040,A1040,smartphones,40965,buyer_theta,supplier_09,lender_prime,312.33,0.4465,0.9186,0.8708,90,1787303793.856071,erp
PO10041,A1041,steel coils,37588,buyer_delta,supplier_09,lender_north,237.18,0.0771,0.5968,0.8312,60,1786134676.856075,erp
PO10042,A1042,auto components,20299,buyer_epsilon,supplier_08,lender_north,1199.27,0.2681,0.3,0.9044,45,1787116885.8560798,erp
PO10043,A1043,auto components,47746,buyer_epsilon,supplier_11,lender_north,768.77,0.177,0.8453,0.9255,90,1786676444.856085,erp
PO10044,A1044,steel coils,5434,buyer_zeta,supplier_02,lender_north,914.82,0.1311,0.9551,0.7824,60,1785462534.856089,erp
PO10045,A1045,textile rolls,7600,buyer_eta,supplier_11,lender_north,586.91,0.3722,0.8182,0.8914,90,1786011637.856093,erp
PO10046,A1046,medical devices,46144,buyer_zeta,supplier_11,lender_delta,721.31,0.3393,0.8732,0.8285,60,1785630701.856098,erp
PO10047,A1047,steel coils,18580,buyer_zeta,supplier_01,lender_north,1163.12,0.0817,0.7723,0.6459,30,1786751382.856102,erp
PO10048,A1048,LED panels,16926,buyer_gamma,supplier_03,lender_north,167.51,0.1934,0.7603,0.6971,90,1785801104.856106,erp
PO10049,A1049,smartphones,48160,buyer_delta,supplier_10,lender_atlas,571.33,0.2168,0.892,0.8612,60,1786011336.85611,erp
PO10050,A1050,auto components,46491,buyer_eta,supplier_02,lender_prime,1029.24,0.2786,0.8298,0.7907,60,1787274142.856114,erp
PO10051,A1051,smartphones,6094,buyer_theta,supplier_02,lender_prime,540.98,0.5374,0.5825,0.9453,60,1786439445.856118,erp
PO10052,A1052,LED panels,14442,buyer_beta,supplier_10,lender_north,801.81,0.1008,0.6791,0.9697,60,1787792918.856122,erp
PO10053,A1053,medical devices,20749,buyer_gamma,supplier_05,lender_atlas,447.19,0.1174,0.9462,0.8891,60,1785533697.856126,erp
PO10054,A1054,laptop batteries,10816,buyer_beta,supplier_01,lender_prime,821.8,0.1795,0.8972,0.7362,30,1786989435.8561301,erp
PO10055,A1055,smartphones,1003,buyer_eta,supplier_10,lender_north,389.65,0.1985,0.6897,0.6372,30,1786248919.856134,erp
PO10056,A1056,smartphones,30630,buyer_alpha,supplier_07,lender_prime,1040.05,0.2484,0.6839,0.8197,90,1786612971.856138,erp
PO10057,A1057,textile rolls,11518,buyer_zeta,supplier_04,lender_prime,632.16,0.0823,0.9359,0.7304,90,1785968396.856142,erp
PO10058,A1058,LED panels,42639,buyer_theta,supplier_11,lender_atlas,1042.53,0.5167,0.934,0.9342,30,1787535626.856147,erp
PO10059,A1059,LED panels,36827,buyer_eta,supplier_08,lender_prime,561.69,0.5019,0.8829,0.7432,45,1786078265.856151,erp
PO10060,A1060,LED panels,40464,buyer_theta,supplier_09,lender_north,462.12,0.6315,0.7166,0.8755,45,1786447102.8561559,erp
PO10061,A1061,medical devices,43893,buyer_epsilon,supplier_11,lender_delta,189.58,0.3409,0.9429,0.8491,60,1785874788.85616,erp
PO10062,A1062,laptop batteries,10654,buyer_delta,supplier_04,lender_prime,383.12,0.4161,0.7417,0.6317,90,1787731097.856164,erp
PO10063,A1063,medical devices,47658,buyer_eta,supplier_06,lender_north,1164.72,0.2409,0.5464,0.6669,60,1786312667.8561668,erp
PO10064,A1064,auto components,13587,buyer_eta,supplier_03,lender_north,1052.68,0.0819,0.9327,0.6819,30,1786983062.856171,erp
PO10065,A1065,smartphones,27690,buyer_theta,supplier_06,lender_prime,499.89,0.3652,0.6252,0.4608,90,1786032786.8561761,erp
PO10066,A1066,smartphones,17272,buyer_alpha,supplier_02,lender_north,1008.56,0.2828,0.9388,0.9442,30,1785752714.856179,erp
PO10067,A1067,laptop batteries,19588,buyer_delta,supplier_12,lender_delta,41.81,0.2911,0.6286,0.8767,60,1786850470.856183,erp
PO10068,A1068,auto components,4927,buyer_alpha,supplier_06,lender_atlas,319.71,0.3208,0.7541,0.9282,90,1787759235.8561869,erp
PO10069,A1069,smartphones,13572,buyer_epsilon,supplier_04,lender_prime,406.09,0.1318,0.7055,0.7287,90,1786236544.856191,erp
PO10070,A1070,textile rolls,12743,buyer_theta,supplier_07,lender_delta,842.8,0.2703,0.8422,0.7648,45,1786052470.856195,erp
PO10071,A1071,smartphones,48132,buyer_zeta,supplier_08,lender_atlas,753.23,0.2042,0.5675,0.8655,60,1786308549.856199,erp
PO10072,A1072,laptop batteries,45003,buyer_alpha,supplier_10,lender_delta,1140.64,0.2015,0.8549,0.8584,60,1786822622.856203,erp
PO10073,A1073,LED panels,19215,buyer_theta,supplier_04,lender_delta,272.21,0.1773,0.8571,0.8579,45,1786398148.8562071,erp
PO10074,A1074,laptop batteries,9601,buyer_delta,supplier_02,lender_north,956.83,0.0573,0.9354,0.8017,60,1787376082.856212,erp
PO10075,A1075,steel coils,33455,buyer_gamma,supplier_03,lender_prime,1004.41,0.385,0.7041,0.5686,30,1785806412.856216,erp
PO10076,A1076,LED panels,10605,buyer_gamma,supplier_10,lender_north,804.13,0.2699,0.5572,0.7779,60,1786647282.85622,erp
PO10077,A1077,auto components,45391,buyer_theta,supplier_04,lender_delta,385.02,0.3264,0.6101,0.8239,60,1786028614.856225,erp
PO10078,A1078,smartphones,3816,buyer_delta,supplier_03,lender_atlas,1136.65,0.3796,0.7044,0.8176,45,1787011975.856229,erp
PO10079,A1079,smartphones,18938,buyer_zeta,supplier_01,lender_delta,733.12,0.5458,0.7784,0.9443,60,1785593971.856233,erp
PO10080,A1080,steel coils,33546,buyer_epsilon,supplier_02,lender_delta,926.71,0.1488,0.9193,0.9101,90,1785736117.8562372,erp
PO10081,A1081,LED panels,34284,buyer_theta,supplier_03,lender_north,420.44,0.3782,0.7642,0.7767,60,1787802590.856241,erp
PO10082,A1082,medical devices,38410,buyer_theta,supplier_05,lender_north,876.82,0.273,0.9768,0.7279,90,1787653130.856246,erp
PO10083,A1083,laptop batteries,37258,buyer_gamma,supplier_09,lender_atlas,1197.82,0.2516,0.7349,0.8119,60,1786702185.85625,erp
PO10084,A1084,medical devices,32547,buyer_delta,supplier_12,lender_atlas,596.57,0.2389,0.8461,0.5344,60,1785557082.8562539,erp
PO10085,A1085,smartphones,40849,buyer_epsilon,supplier_03,lender_north,321.25,0.3121,0.9184,0.8854,60,1786567282.856259,erp
PO10086,A1086,smartphones,6362,buyer_epsilon,supplier_11,lender_north,660.78,0.2284,0.397,0.9905,30,1786509088.8562639,erp
PO10087,A1087,medical devices,36105,buyer_epsilon,supplier_08,lender_delta,1071.54,0.152,0.6691,0.8625,90,1786120439.856268,erp
PO10088,A1088,steel coils,44360,buyer_zeta,supplier_02,lender_prime,254.35,0.161,0.6363,0.7252,60,1787421879.856273,erp
PO10089,A1089,LED panels,14973,buyer_epsilon,supplier_06,lender_north,1150.54,0.2127,0.6617,0.6696,60,1787586770.856277,erp
PO10090,A1090,auto components,36390,buyer_beta,supplier_01,lender_north,704.33,0.1225,0.9009,0.8351,30,1785570591.85628,erp
PO10091,A1091,auto components,20696,buyer_theta,supplier_11,lender_prime,499.3,0.4282,0.9293,0.4038,90,1786343754.8562849,erp
PO10092,A1092,auto components,25239,buyer_eta,supplier_08,lender_delta,133.09,0.1954,0.6175,0.8003,45,1786876216.856289,erp
PO10093,A1093,laptop batteries,18564,buyer_theta,supplier_06,lender_north,1127.4,0.3598,0.956,0.8679,30,1787326585.8562932,erp
PO10094,A1094,auto components,48440,buyer_epsilon,supplier_04,lender_atlas,709.87,0.5031,0.7358,0.751,30,1786469776.856298,erp
PO10095,A1095,textile rolls,46133,buyer_eta,supplier_09,lender_delta,513.58,0.1811,0.8741,0.662,90,1786895734.856301,erp
PO10096,A1096,textile rolls,42882,buyer_epsilon,supplier_04,lender_prime,1109.78,0.456,0.9014,0.8275,60,1786642694.8563058,erp
PO10097,A1097,laptop batteries,49093,buyer_alpha,supplier_04,lender_prime,906.38,0.3443,0.8274,0.8431,90,1785959794.856309,erp
PO10098,A1098,steel coils,21486,buyer_beta,supplier_12,lender_north,470.02,0.3074,0.6856,0.7427,90,1785604794.856313,erp
PO10099,A1099,auto components,32522,buyer_zeta,supplier_05,lender_delta,574.56,0.5228,0.6866,0.8339,30,1787280892.856318,erp
PO10100,A1100,LED panels,30385,buyer_alpha,supplier_04,lender_atlas,110.12,0.1971,0.5775,0.8853,90,1787162457.856322,erp
PO10101,A1101,LED panels,10258,buyer_beta,supplier_02,lender_north,262.64,0.3448,0.7227,0.4798,30,1787522187.8563251,erp
PO10102,A1102,steel coils,36721,buyer_eta,supplier_07,lender_delta,105.09,0.1989,0.8853,0.8427,60,1787848682.85633,erp
PO10103,A1103,laptop batteries,49799,buyer_delta,supplier_10,lender_delta,1117.49,0.1757,0.8496,0.9545,60,1787689137.856334,erp
PO10104,A1104,laptop batteries,5481,buyer_beta,supplier_07,lender_atlas,742.0,0.2854,0.7455,0.755,60,1786880671.856338,erp
PO10105,A1105,textile rolls,10607,buyer_beta,supplier_02,lender_delta,865.55,0.3837,0.8982,0.8039,60,1785589790.856342,erp
PO10106,A1106,LED panels,21761,buyer_beta,supplier_10,lender_delta,54.32,0.1848,0.8997,0.8701,60,1785883343.8563461,erp
PO10107,A1107,textile rolls,16660,buyer_beta,supplier_06,lender_delta,728.82,0.1792,0.8109,0.9439,45,1785905244.85635,erp
PO10108,A1108,steel coils,21415,buyer_zeta,supplier_03,lender_atlas,892.45,0.2511,0.7877,0.8512,30,1785978173.856354,erp
PO10109,A1109,auto components,19592,buyer_delta,supplier_08,lender_prime,990.0,0.4341,0.5997,0.6456,90,1785634143.8563578,erp
PO10110,A1110,medical devices,35686,buyer_alpha,supplier_06,lender_prime,166.87,0.2463,0.7259,0.908,45,1785772425.8563619,erp
PO10111,A1111,textile rolls,26133,buyer_delta,supplier_08,lender_delta,935.92,0.3508,0.7529,0.7181,90,1786576753.856367,erp
PO10112,A1112,smartphones,47081,buyer_beta,supplier_05,lender_prime,66.2,0.1451,0.8058,0.5934,45,1786101853.856371,erp
PO10113,A1113,medical devices,40746,buyer_eta,supplier_01,lender_north,561.51,0.1227,0.778,0.6112,60,1785410479.856375,erp
PO10114,A1114,steel coils,38969,buyer_eta,supplier_10,lender_prime,443.59,0.3715,0.9159,0.8261,90,1786160135.8563788,erp
PO10115,A1115,steel coils,28224,buyer_gamma,supplier_10,lender_north,604.54,0.3924,0.6374,0.6719,90,1785851909.856383,erp
PO10116,A1116,auto components,29588,buyer_eta,supplier_12,lender_delta,234.01,0.3823,0.544,0.8273,60,1785636404.856386,erp
PO10117,A1117,auto components,3226,buyer_zeta,supplier_09,lender_delta,673.77,0.5289,0.5827,0.6733,90,1787218179.856392,erp
PO10118,A1118,auto components,14062,buyer_gamma,supplier_04,lender_prime,701.29,0.389,0.435,0.7202,60,1787382149.856396,erp
PO10119,A1119,laptop batteries,47121,buyer_gamma,supplier_04,lender_atlas,1001.04,0.4107,0.7477,0.9913,30,1785991481.856401,erp
PO10120,A1120,auto components,35524,buyer_zeta,supplier_02,lender_delta,292.68,0.2984,0.7135,0.5816,30,1787251726.856405,erp
PO10121,A1121,smartphones,28536,buyer_theta,supplier_08,lender_north,1195.01,0.6225,0.668,0.471,90,1787531839.856409,erp
PO10122,A1122,laptop batteries,31748,buyer_beta,supplier_01,lender_prime,193.93,0.4348,0.864,0.7294,45,1786309108.856413,erp
PO10123,A1123,medical devices,9862,buyer_gamma,supplier_11,lender_prime,655.39,0.0289,0.8326,0.6072,90,1786595233.856417,erp
PO10124,A1124,textile rolls,42745,buyer_gamma,supplier_04,lender_prime,327.87,0.3767,0.5015,0.5956,45,1785838647.8564212,erp
PO10125,A1125,laptop batteries,33240,buyer_eta,supplier_02,lender_prime,652.81,0.5377,0.9566,0.7884,90,1786137753.856426,erp
PO10126,A1126,medical devices,35664,buyer_eta,supplier_02,lender_north,361.86,0.264,0.7262,0.7266,45,1787671481.856431,erp
PO10127,A1127,steel coils,8101,buyer_delta,supplier_02,lender_delta,750.26,0.0605,0.5938,0.8788,60,1787419191.856435,erp
PO10128,A1128,auto components,28636,buyer_alpha,supplier_06,lender_atlas,647.67,0.1519,0.9032,0.9535,30,1787729648.856439,erp
PO10129,A1129,smartphones,31417,buyer_alpha,supplier_04,lender_atlas,484.26,0.0769,0.8905,0.8494,60,1787413553.8564422,erp
PO10130,A1130,laptop batteries,34301,buyer_alpha,supplier_03,lender_prime,1146.73,0.1059,0.7119,0.7645,45,1785621921.856447,erp
PO10131,A1131,smartphones,27372,buyer_delta,supplier_03,lender_prime,310.28,0.1256,0.9514,0.9255,60,1787524174.856451,erp
PO10132,A1132,auto components,34562,buyer_alpha,supplier_04,lender_delta,852.98,0.3614,0.899,0.8648,60,1786266194.8564548,erp
PO10133,A1133,steel coils,18322,buyer_zeta,supplier_06,lender_north,126.64,0.136,0.735,0.8984,60,1785383922.856459,erp
PO10134,A1134,auto components,21982,buyer_alpha,supplier_04,lender_north,145.81,0.1651,0.9502,0.8623,45,1787404945.8564632,erp
PO10135,A1135,auto components,15067,buyer_alpha,supplier_01,lender_north,269.83,0.2097,0.7965,0.9461,30,1787209759.856467,erp
PO10136,A1136,steel coils,33014,buyer_eta,supplier_12,lender_prime,483.97,0.2501,0.7371,0.9595,90,1787077770.856471,erp
PO10137,A1137,auto components,36129,buyer_delta,supplier_11,lender_prime,1187.71,0.4098,0.8271,0.9693,60,1785464929.8564749,erp
PO10138,A1138,smartphones,16743,buyer_delta,supplier_03,lender_north,349.17,0.6588,0.5274,0.931,60,1785433164.856479,erp
PO10139,A1139,medical devices,23547,buyer_alpha,supplier_12,lender_north,693.21,0.0831,0.914,0.994,45,1787367044.856483,erp
PO10140,A1140,laptop batteries,21706,buyer_zeta,supplier_12,lender_prime,65.42,0.2341,0.8866,0.8347,45,1786081998.8564868,erp
PO10141,A1141,textile rolls,11916,buyer_theta,supplier_11,lender_atlas,298.96,0.363,0.7258,0.7713,45,1786525335.856492,erp
PO10142,A1142,textile rolls,21439,buyer_beta,supplier_04,lender_north,777.98,0.3981,0.7757,0.8401,45,1786177834.856496,erp
PO10143,A1143,textile rolls,36284,buyer_theta,supplier_07,lender_delta,157.66,0.2252,0.775,0.6998,30,1786496889.8565,erp
PO10144,A1144,smartphones,28767,buyer_theta,supplier_12,lender_north,744.49,0.2819,0.6828,0.6261,30,1786400930.856504,erp
PO10145,A1145,smartphones,19803,buyer_alpha,supplier_07,lender_delta,271.62,0.0626,0.8766,0.7918,90,1786364974.856508,erp
PO10146,A1146,smartphones,17755,buyer_gamma,supplier_08,lender_delta,579.47,0.2996,0.8605,0.609,90,1785512219.856512,erp
PO10147,A1147,textile rolls,5674,buyer_delta,supplier_08,lender_delta,1087.22,0.2368,0.9313,0.8739,90,1787067446.8565161,erp
PO10148,A1148,textile rolls,21455,buyer_gamma,supplier_10,lender_prime,140.95,0.1947,0.9235,0.9317,30,1786714396.856521,erp
PO10149,A1149,textile rolls,25603,buyer_zeta,supplier_07,lender_delta,703.55,0.2802,0.8465,0.8224,60,1787829494.856525,erp
PO10150,A1150,textile rolls,18872,buyer_zeta,supplier_05,lender_delta,1035.55,0.4466,0.8788,0.8185,90,1785882383.856529,erp
PO10151,A1151,LED panels,10918,buyer_zeta,supplier_01,lender_prime,400.9,0.1803,0.9117,0.9231,90,1787394796.856533,erp
PO10152,A1152,textile rolls,32533,buyer_alpha,supplier_04,lender_delta,246.0,0.1209,0.8507,0.5742,45,1786785738.856537,erp
PO10153,A1153,smartphones,45208,buyer_eta,supplier_09,lender_prime,589.95,0.08,0.7006,0.8483,90,1785462840.856541,erp
PO10154,A1154,LED panels,43908,buyer_beta,supplier_01,lender_atlas,691.29,0.2629,0.8154,0.7448,45,1787676226.856545,erp
PO10155,A1155,textile rolls,45114,buyer_eta,supplier_11,lender_north,876.69,0.4162,0.6491,0.8282,90,1786410711.856549,erp
PO10156,A1156,auto components,43597,buyer_epsilon,supplier_03,lender_north,380.79,0.2043,0.9326,0.8298,30,1785940783.856554,erp
PO10157,A1157,LED panels,38531,buyer_alpha,supplier_11,lender_prime,587.77,0.119,0.896,0.4621,45,1786587348.856558,erp
PO10158,A1158,steel coils,22299,buyer_gamma,supplier_02,lender_north,403.56,0.1077,0.6433,0.7085,90,1786306611.856562,erp
PO10159,A1159,LED panels,13568,buyer_alpha,supplier_01,lender_atlas,1142.08,0.526,0.6085,0.7361,30,1787722600.856566,erp
PO10160,A1160,steel coils,48199,buyer_epsilon,supplier_05,lender_atlas,543.05,0.2872,0.9846,0.7913,30,1786340685.856571,erp
PO10161,A1161,LED panels,3684,buyer_epsilon,supplier_09,lender_prime,807.89,0.3959,0.6788,0.6525,45,1786157674.856575,erp
PO10162,A1162,medical devices,40981,buyer_beta,supplier_09,lender_prime,367.94,0.3929,0.8842,0.6981,30,1787541052.856579,erp
PO10163,A1163,medical devices,32881,buyer_beta,supplier_10,lender_north,1141.36,0.3406,0.3357,0.78,30,1787873788.8565829,erp
PO10164,A1164,medical devices,11674,buyer_gamma,supplier_11,lender_atlas,454.73,0.1699,0.8468,0.7991,30,1787358563.8565881,erp
PO10165,A1165,smartphones,27764,buyer_alpha,supplier_03,lender_delta,970.63,0.3892,0.3376,0.8718,30,1787648706.856592,erp
PO10166,A1166,textile rolls,1310,buyer_epsilon,supplier_11,lender_north,1174.36,0.3436,0.7802,0.6234,30,1787865514.856597,erp
PO10167,A1167,auto components,31255,buyer_gamma,supplier_09,lender_delta,1048.52,0.117,0.5244,0.5301,90,1786039217.856601,erp
PO10168,A1168,steel coils,49339,buyer_zeta,supplier_02,lender_prime,159.07,0.2103,0.8581,0.6377,90,1786390589.8566048,erp
PO10169,A1169,smartphones,43682,buyer_theta,supplier_02,lender_north,42.55,0.1487,0.5565,0.8772,90,1787010109.856611,erp
PO10170,A1170,medical devices,22646,buyer_theta,supplier_04,lender_prime,918.29,0.0543,0.8361,0.8447,45,1785487724.8566148,erp
PO10171,A1171,auto components,8913,buyer_gamma,supplier_12,lender_prime,489.39,0.3128,0.8436,0.6284,60,1785592467.8566191,erp
PO10172,A1172,laptop batteries,41405,buyer_delta,supplier_04,lender_atlas,836.47,0.4863,0.6771,0.696,60,1786142740.8566232,erp
PO10173,A1173,smartphones,2156,buyer_alpha,supplier_09,lender_delta,208.58,0.2789,0.5113,0.9514,30,1785330209.856627,erp
PO10174,A1174,medical devices,37283,buyer_delta,supplier_12,lender_delta,315.61,0.4926,0.9286,0.5723,60,1785446490.856632,erp
PO10175,A1175,laptop batteries,19779,buyer_delta,supplier_12,lender_delta,245.81,0.4706,0.7276,0.8525,45,1787746834.8566358,erp
PO10176,A1176,LED panels,3832,buyer_gamma,supplier_06,lender_atlas,609.04,0.2256,0.9177,0.9228,45,1786522336.856642,erp
PO10177,A1177,textile rolls,14816,buyer_zeta,supplier_06,lender_delta,1196.09,0.7785,0.7161,0.7215,60,1785757188.8566458,erp
PO10178,A1178,smartphones,19927,buyer_theta,supplier_08,lender_north,411.56,0.087,0.8376,0.7469,30,1787269463.856651,erp
PO10179,A1179,medical devices,22239,buyer_alpha,supplier_08,lender_prime,141.52,0.0676,0.7644,0.6815,30,1785458138.8566551,erp
PO10180,A1180,auto components,5257,buyer_alpha,supplier_12,lender_atlas,1116.54,0.1295,0.8613,0.908,60,1787310060.856658,erp
PO10181,A1181,auto components,48297,buyer_epsilon,supplier_11,lender_atlas,1150.57,0.0526,0.7728,0.5801,45,1787239265.856663,erp
PO10182,A1182,LED panels,17063,buyer_gamma,supplier_04,lender_north,172.96,0.5607,0.732,0.611,60,1787621557.8566668,erp
PO10183,A1183,steel coils,30033,buyer_delta,supplier_06,lender_atlas,754.96,0.1783,0.8538,0.9053,90,1785973030.856671,erp
PO10184,A1184,auto components,20519,buyer_theta,supplier_06,lender_delta,679.94,0.0874,0.7931,0.8944,90,1785439565.8566751,erp
PO10185,A1185,LED panels,17579,buyer_delta,supplier_01,lender_delta,798.53,0.0701,0.8725,0.9261,45,1785886396.85668,erp
PO10186,A1186,laptop batteries,32458,buyer_zeta,supplier_01,lender_north,112.92,0.2915,0.7685,0.6408,60,1785487400.856684,erp
PO10187,A1187,medical devices,25306,buyer_gamma,supplier_07,lender_atlas,721.71,0.2283,0.7097,0.5004,60,1787027189.856688,erp
PO10188,A1188,laptop batteries,24238,buyer_gamma,supplier_03,lender_prime,806.89,0.3612,0.7066,0.6732,30,1785514085.856692,erp
PO10189,A1189,laptop batteries,17425,buyer_gamma,supplier_01,lender_north,639.3,0.2008,0.7818,0.8086,45,1785771885.8566961,erp
PO10190,A1190,medical devices,45430,buyer_epsilon,supplier_03,lender_atlas,1109.93,0.3449,0.3141,0.6442,30,1787523489.8567,erp
PO10191,A1191,laptop batteries,40049,buyer_theta,supplier_11,lender_prime,1080.48,0.4111,0.7492,0.804,30,1786129725.856704,erp
PO10192,A1192,steel coils,15737,buyer_gamma,supplier_05,lender_prime,368.59,0.1005,0.8672,0.803,90,1785545958.856708,erp
PO10193,A1193,textile rolls,45104,buyer_zeta,supplier_10,lender_delta,915.77,0.2364,0.8563,0.6155,45,1786041202.8567119,erp
PO10194,A1194,laptop batteries,33814,buyer_gamma,supplier_02,lender_delta,951.85,0.3817,0.5772,0.9289,60,1787578646.856716,erp
PO10195,A1195,steel coils,26756,buyer_alpha,supplier_12,lender_atlas,865.46,0.2233,0.6921,0.6827,45,1785334063.85672,erp
PO10196,A1196,smartphones,24075,buyer_gamma,supplier_11,lender_north,799.82,0.1494,0.5914,0.7633,60,1786754599.856724,erp
PO10197,A1197,laptop batteries,30303,buyer_delta,supplier_10,lender_delta,706.89,0.2837,0.5496,0.8349,90,1785552256.856728,erp
PO10198,A1198,auto components,22760,buyer_theta,supplier_04,lender_delta,830.65,0.5472,0.8641,0.8794,60,1786873089.856731,erp
PO10199,A1199,steel coils,44651,buyer_epsilon,supplier_02,lender_atlas,128.19,0.2632,0.8128,0.9099,45,1786421069.856735,erp
