record_id,buyer_risk_score,buyer_payment_history,supplier_reliability,production_delay_days,shipment_delay_days,payment_delay_days,inventory_age_days,deterioration,invoice_dispute_flag,duplicate_financing_flag,source_confidence,stage_progress,advance_rate_requested,financing_utilization,demand_volatility,order_value,adverse_outcome
H000016,0.31092,0.85181,0.82739,0.0,2.09,0.0,0.0,0,0,0,0.98723,0.85714,0.55461,0.26812,0.17509,155627.93,0
H000017,0.18015,0.96114,0.6411,0.47,2.06,9.91,12.23,0,0,0,1.0,0.28571,0.51887,0.64266,0.30107,164678.89,0
H000018,0.38282,0.66627,0.8338,0.0,4.56,0.0,44.16,0,0,0,0.69155,0.28571,0.33968,0.21107,0.43548,1140419.4,0
H000019,0.20742,0.95678,0.64571,12.01,2.92,4.51,28.05,0,0,0,0.81086,0.0,0.44967,0.39752,0.30778,238376.13,0
H000020,0.27042,0.84093,0.79565,0.0,0.87,0.0,21.92,0,0,0,0.82683,0.28571,0.16307,0.66942,0.59519,203395.08,0
H000021,0.22788,0.91406,0.97909,0.0,2.19,7.72,15.37,0,0,0,0.68279,0.0,0.59156,0.77256,0.58796,196049.88,0
H000022,0.35564,0.7649,0.83085,0.15,0.02,7.02,23.79,0,0,0,0.78973,0.0,0.40219,0.58003,0.60012,773864.06,0
H000023,0.37909,0.69374,0.52916,2.21,3.4,0.0,0.0,0,0,0,0.86995,0.85714,0.60348,0.51096,0.07625,2783363.0,1
H000024,0.38779,0.72254,0.83651,1.83,3.16,6.33,31.96,0,0,0,0.84216,0.14286,0.53361,0.46333,0.46618,1422198.58,0
H000025,0.36737,0.68984,0.58032,9.28,1.06,2.78,27.37,0,0,0,1.0,1.0,0.56173,0.84037,0.2351,160608.88,1
H000026,0.37104,0.91905,0.86492,2.76,2.03,0.5,0.0,0,0,0,0.70961,0.71429,0.64448,0.27904,0.24777,408804.56,0
H000027,0.23699,0.77989,0.51397,6.44,0.0,0.0,15.13,0,0,0,0.9164,0.57143,0.73788,0.3615,0.5548,1964915.79,0
H000028,0.17485,0.29134,0.93453,6.42,0.0,0.0,0.0,1,0,0,0.79245,0.85714,0.6475,0.18282,0.19151,1865362.31,0
H000029,0.16125,0.71647,0.66168,2.79,7.98,4.66,32.97,0,0,0,0.50444,0.57143,0.33849,0.95025,0.36657,386090.29,0
H000030,0.2509,0.83915,0.55134,4.22,2.9,1.12,14.74,0,1,0,1.0,0.71429,0.85397,0.53784,0.20814,140427.96,0
H000031,0.64453,0.64768,0.82821,7.72,0.0,20.66,12.74,0,0,0,0.98826,1.0,0.59842,0.29197,0.53999,256965.11,0
H000032,0.31987,0.66872,0.68651,4.07,2.05,5.98,17.8,0,0,0,0.63799,0.85714,0.8809,0.23772,0.16878,2293634.41,0
H000033,0.37714,0.80381,0.86368,11.29,0.0,6.55,24.02,0,0,0,0.65978,0.42857,0.95,0.88023,0.44804,261023.27,0
H000034,0.45343,0.80095,0.97385,3.12,4.62,3.55,22.67,0,0,0,0.63411,0.14286,0.62386,0.39132,0.35784,832660.06,0
H000035,0.39598,0.95013,0.81729,7.51,4.99,0.0,5.1,0,0,0,0.7128,0.14286,0.57371,0.73211,0.11145,1833863.27,1
H000036,0.16701,0.55768,0.8918,4.6,2.6,1.6,0.0,0,0,0,0.8106,0.71429,0.65616,0.907,0.01442,118386.47,1
H000037,0.19155,0.83063,0.77873,0.0,0.0,0.0,1.39,0,0,0,0.82988,0.57143,0.54136,0.48461,0.17203,1560670.93,0
H000038,0.42039,0.5951,0.57403,0.0,0.0,0.0,22.55,0,0,0,0.80251,1.0,0.83053,0.35376,0.29396,773835.5,1
H000039,0.23253,0.84092,0.82317,0.84,4.93,0.0,30.93,0,0,0,0.97738,1.0,0.94411,0.78357,0.0,181061.71,0
H000040,0.22668,0.77581,0.54153,3.03,3.59,5.59,38.55,0,0,0,0.86004,1.0,0.38358,0.34926,0.0,278854.33,0
H000041,0.48007,0.82063,0.92926,0.0,4.6,13.5,10.56,1,0,0,0.90189,0.28571,0.79448,0.77231,0.26829,561723.74,1
H000042,0.31375,0.69343,0.77049,10.19,0.0,0.0,12.51,0,0,0,0.77522,0.85714,0.8108,0.77823,0.52485,114015.38,0
H000043,0.05143,0.97705,0.87621,0.0,1.61,1.89,0.0,0,0,0,0.78311,0.28571,0.52355,0.72479,0.0504,772238.5,0
H000044,0.36913,0.81406,0.49805,0.0,2.42,0.0,31.24,0,0,0,0.89872,1.0,0.67853,0.73673,0.15724,921029.72,0
H000045,0.3183,0.93947,0.75186,11.12,0.0,0.0,0.0,0,0,0,0.8182,1.0,0.49235,0.51859,0.32586,197282.72,0
H000046,0.53874,0.7696,0.9654,2.94,3.58,0.0,27.51,0,0,0,1.0,0.14286,0.81614,0.804,0.25489,1050972.32,1
H000047,0.07428,0.85216,0.70877,0.0,0.0,0.0,0.0,0,0,0,0.77907,0.0,0.18157,0.52225,0.37188,1657805.42,0
H000048,0.23966,0.88174,0.60608,0.0,7.44,0.0,18.45,0,0,0,0.83302,0.28571,0.51178,0.35419,0.27534,221223.84,0
H000049,0.12914,0.70683,0.91196,3.05,0.96,13.59,29.39,0,0,0,0.69711,0.71429,0.42279,0.281,0.54002,565850.75,0
H000050,0.12911,0.84861,0.83131,0.35,1.89,7.12,3.99,0,0,0,0.7438,0.71429,0.28103,0.36924,0.07384,498689.76,0
H000051,0.48764,0.71552,0.81188,0.0,2.24,0.0,29.28,0,0,0,0.69848,0.28571,0.62371,0.81581,0.10258,577344.1,0
H000052,0.17177,0.76501,0.63308,8.4,8.45,8.31,37.34,0,0,0,0.63353,0.0,0.45643,1.0,0.53419,770229.94,1
H000053,0.20271,0.88743,0.65058,0.0,3.61,0.41,25.52,0,0,0,0.77173,0.71429,0.7216,0.43622,0.31198,292968.75,0
H000054,0.04105,0.7865,0.91076,0.0,3.16,0.0,18.11,0,0,0,0.80718,0.57143,0.55315,0.0851,0.33194,688239.22,0
H000055,0.18997,0.71848,0.76985,0.12,11.25,1.01,10.71,0,0,0,0.68933,0.28571,0.92066,0.62258,0.52382,450053.55,1
H000056,0.23318,0.88085,0.85997,0.0,0.79,0.0,46.0,0,0,0,0.65473,0.0,0.42766,0.39822,0.23912,521853.46,1
H000057,0.21033,0.81872,0.71798,4.42,5.42,0.0,6.35,0,0,0,0.6871,1.0,0.55446,0.35153,0.2951,315190.86,0
H000058,0.3061,0.83989,0.83846,0.98,4.5,13.9,6.47,0,0,0,0.59551,0.71429,0.90651,0.9215,0.22848,293040.45,0
H000059,0.24906,0.69359,0.87057,0.0,0.92,9.34,23.35,0,0,0,0.99164,0.28571,0.587,0.11109,0.55239,1293601.24,0
H000060,0.18254,0.52792,0.39677,11.58,0.0,11.55,19.21,0,0,0,0.98989,1.0,0.56543,0.63065,0.25806,453817.6,0
H000061,0.43612,0.76748,0.80853,14.01,6.91,0.0,23.29,1,0,0,0.82856,0.0,0.73117,0.52494,0.48948,141428.01,1
H000062,0.23095,0.90051,0.66121,3.2,0.0,7.92,0.0,0,0,0,0.6948,0.71429,0.54675,0.79007,0.42933,109566.33,0
H000063,0.12248,0.90085,0.82179,7.8,3.07,6.43,0.0,0,0,0,0.8078,0.71429,0.55555,0.45577,0.10614,1723329.12,0
H000064,0.09051,0.77377,0.88447,13.89,8.62,0.0,23.2,0,0,0,0.9726,0.85714,0.55446,0.13856,0.2532,256248.42,0
H000065,0.35976,0.95602,0.85103,8.13,3.12,0.0,46.54,0,0,0,0.79064,0.57143,0.44787,0.99696,0.0,474418.06,1
H000066,0.41704,0.84378,0.63946,1.86,3.74,0.0,15.2,0,0,0,0.79977,0.85714,0.59348,0.81512,0.27381,222413.27,1
H000067,0.14116,0.68631,0.43968,16.8,10.27,0.0,19.58,0,0,0,0.64358,0.85714,0.48555,0.2289,0.3748,290903.73,0
H000068,0.35615,0.93264,0.6692,3.95,3.98,0.0,12.9,0,0,0,0.85165,1.0,0.38381,0.19336,0.39125,350237.88,0
H000069,0.49142,0.70594,0.97228,2.05,2.11,0.99,0.0,0,0,0,0.58222,0.28571,0.75024,0.61746,0.37046,238809.39,0
H000070,0.19884,0.88458,0.65868,6.7,3.53,0.25,16.23,1,0,0,0.64766,0.14286,0.70014,0.92949,0.07214,859615.66,1
H000071,0.34627,0.96165,0.45955,0.92,5.73,0.0,5.33,0,0,0,0.82634,0.14286,0.28005,0.0,0.31757,141615.75,0
H000072,0.44407,0.65199,0.67261,0.0,0.0,1.83,11.56,0,0,0,0.8332,0.14286,0.43196,0.98185,0.5543,321043.87,1
H000073,0.23704,0.59461,0.63078,6.38,1.69,0.0,14.78,0,0,0,0.88415,0.57143,0.66163,0.31731,0.41853,197315.15,0
H000074,0.46069,0.85801,0.87833,4.07,4.45,20.47,8.7,0,0,0,0.76055,0.85714,0.52187,0.46691,0.63031,60387.94,1
H000075,0.62821,0.93588,0.73591,0.0,3.16,0.0,8.23,0,0,0,1.0,0.14286,0.68232,0.66847,0.40626,600235.34,0
H000076,0.49695,0.74973,0.64727,12.57,10.86,0.0,19.45,0,0,0,0.82619,0.71429,0.4239,0.39608,0.35394,429112.42,1
H000077,0.1261,0.91338,0.8669,5.55,5.99,0.95,19.61,0,0,0,0.69646,0.42857,0.75075,0.47921,0.59633,1249513.54,0
H000078,0.33551,0.84473,0.79695,6.16,6.03,7.4,0.0,0,0,0,0.84429,0.71429,0.66457,0.44845,0.1182,391881.07,0
H000079,0.29272,0.91377,0.89121,8.35,0.94,0.0,18.77,0,0,0,0.86608,0.42857,0.60113,0.4939,0.45929,480668.87,0
H000080,0.56468,0.87113,0.54651,10.03,5.41,2.55,4.55,0,0,0,0.89253,0.14286,0.41303,0.56594,0.18934,1351161.54,1
H000081,0.46034,0.77478,0.67492,1.77,8.09,13.01,15.8,0,0,0,1.0,0.28571,0.32026,0.50473,0.22839,210251.05,1
H000082,0.19729,0.58181,0.6462,0.0,2.84,0.0,2.12,0,0,0,0.71718,0.14286,0.38304,0.60271,0.14615,444907.46,0
H000083,0.08108,0.97733,0.41118,6.58,3.47,11.49,29.71,0,1,0,0.80974,0.85714,0.29802,0.34799,0.08732,225223.12,1
H000084,0.50307,0.9148,0.92512,6.48,4.88,12.63,19.23,0,0,0,0.91179,1.0,0.72255,0.5997,0.26093,556294.84,0
H000085,0.2194,0.65429,0.88985,0.0,1.48,1.84,23.14,0,0,0,0.94723,0.14286,0.71015,0.0,0.23223,526566.02,0
H000086,0.3236,0.77863,0.78841,2.09,4.52,0.0,17.23,0,0,0,0.68872,0.14286,0.33907,0.45289,0.49945,1072421.91,0
H000087,0.22314,0.98225,0.78006,8.26,0.0,13.57,41.19,0,0,0,0.8135,0.14286,0.95,0.27701,0.32521,252854.96,0
H000088,0.57572,0.78087,0.77888,0.62,1.1,1.43,13.34,0,0,0,0.64042,0.57143,0.78292,0.56795,0.16642,148268.69,1
H000089,0.51018,0.82026,0.89544,8.73,2.4,0.0,0.0,1,0,0,0.7,0.57143,0.77519,0.75465,0.45438,212219.87,1
H000090,0.57612,0.92278,0.88107,0.0,5.08,2.95,30.4,0,0,0,0.83035,0.57143,0.43188,0.59422,0.7493,404252.12,1
H000091,0.4249,0.74841,0.68678,1.59,2.42,0.0,46.25,0,0,0,0.6976,0.14286,0.50601,0.15413,0.39676,271871.44,0
H000092,0.26943,0.97031,0.47132,9.95,2.69,4.77,27.84,0,0,0,1.0,0.42857,0.63102,0.38443,0.15097,1313761.07,1
H000093,0.16899,0.41101,0.79699,2.66,2.53,1.1,15.76,0,0,0,0.72892,0.42857,0.6083,0.63971,0.30654,614682.37,0
H000094,0.104,0.66345,0.4891,3.78,1.41,0.0,0.0,0,0,0,1.0,1.0,0.55356,0.40806,0.29074,523483.97,0
H000095,0.36533,0.96212,0.92604,1.57,2.73,0.0,0.0,0,0,0,1.0,0.85714,0.5383,0.68544,0.0,585620.0,0
H000096,0.22922,0.71134,0.24657,3.93,5.86,6.05,14.59,0,0,0,0.96321,0.14286,0.88775,0.68258,0.07867,744407.4,1
H000097,0.2778,0.64846,0.80121,6.82,0.0,0.0,5.3,0,0,0,0.86364,0.57143,0.58714,0.62244,0.29886,208304.28,0
H000098,0.31517,0.81524,0.87812,2.92,2.82,0.0,4.65,0,0,0,0.79117,1.0,0.82065,0.55562,0.35907,228485.61,1
H000099,0.19337,0.81328,0.82737,3.36,4.3,13.33,28.09,0,0,0,0.53189,0.42857,0.46368,0.14194,0.20597,1000122.61,0
H000100,0.26322,0.86599,0.78187,2.93,0.0,21.14,13.8,0,0,0,0.96796,0.28571,0.56663,0.62567,0.19994,160358.12,0
H000101,0.10829,0.82913,0.51302,8.3,0.0,7.13,25.79,0,0,0,0.73735,1.0,0.71142,0.71172,0.3537,119366.53,0
H000102,0.08506,0.65869,0.91298,11.42,8.27,0.0,28.47,0,0,0,0.87144,0.85714,0.68836,0.51888,0.01662,462072.89,0
H000103,0.17139,0.85904,0.63721,1.17,0.56,9.13,20.95,0,0,0,0.74484,0.28571,0.49811,0.62908,0.20133,263550.14,0
H000104,0.22743,0.9276,0.78661,1.05,0.0,0.14,51.57,0,0,0,0.79317,0.85714,0.77519,0.51696,0.30893,1390911.42,0
H000105,0.40649,0.66312,0.78472,11.68,4.01,5.12,2.86,0,0,1,0.73955,0.85714,0.58235,0.24324,0.48591,907609.65,1
H000106,0.39173,0.87437,0.78922,12.52,0.0,0.0,8.64,0,0,0,0.92766,0.57143,0.47305,0.4327,0.34034,612758.05,0
H000107,0.10709,0.89914,0.65071,4.63,0.0,7.63,30.39,0,0,0,0.98818,0.71429,0.58616,0.98151,0.2028,1000131.96,0
H000108,0.54973,0.94159,0.74194,1.8,0.22,10.62,17.55,0,0,0,0.84896,0.42857,0.5491,0.52332,0.22551,1033945.17,1
H000109,0.24616,0.85275,0.66416,0.57,6.27,0.0,7.18,0,0,0,0.99109,0.14286,0.74585,0.46132,0.62885,446221.55,0
H000110,0.22106,0.94349,0.93102,8.5,0.0,0.0,29.82,0,1,0,1.0,0.71429,0.34365,0.60069,0.17224,660897.92,0
H000111,0.60419,0.80464,0.48515,0.0,0.0,10.69,34.1,1,0,0,0.70141,1.0,0.69441,0.63001,0.47977,363921.72,1
H000112,0.29215,0.69088,0.69979,0.0,1.08,11.02,31.27,0,0,0,0.66807,0.0,0.79506,1.0,0.35071,456936.86,1
H000113,0.45238,0.8244,0.57836,0.0,1.83,13.99,14.79,1,0,0,0.62621,0.57143,0.48348,0.75804,0.17263,681163.55,1
H000114,0.50436,0.84411,0.56043,0.0,0.89,14.21,39.13,0,0,0,0.76263,0.42857,0.65032,0.73414,0.70378,337512.4,1
H000115,0.05145,0.81261,0.94101,5.72,0.0,0.0,16.11,0,0,0,0.9222,0.71429,0.70151,0.32327,0.31542,761997.96,0
H000116,0.26902,0.74304,0.75281,0.0,0.0,0.0,37.74,0,0,0,0.6553,0.71429,0.5736,0.44826,0.02495,559438.06,0
H000117,0.34305,0.91638,0.86217,3.49,0.0,0.0,14.14,0,0,0,0.76086,0.85714,0.53406,0.57,0.63432,829591.64,0
H000118,0.21172,0.55384,0.75504,2.99,0.0,0.0,1.26,0,0,0,0.8083,0.28571,0.48026,0.52962,0.22965,177691.85,0
H000119,0.47059,0.7438,0.69313,1.26,0.0,10.68,12.82,0,0,0,0.7486,0.42857,0.66989,0.4378,0.18193,624958.42,0
H000120,0.38289,0.88383,0.37313,0.0,1.6,0.0,40.25,0,0,0,1.0,0.0,0.52806,0.43427,0.23137,572076.57,0
H000121,0.0884,0.93434,0.72244,10.85,4.34,8.57,9.31,0,0,0,0.79372,0.0,0.63458,0.34747,0.12608,1107592.5,0
H000122,0.60248,0.68964,0.80767,0.0,0.0,9.0,36.93,0,0,0,0.63512,0.28571,0.87715,0.55579,0.33264,610182.44,0
H000123,0.44582,0.91473,0.44747,16.86,0.0,0.0,22.87,0,0,0,0.81881,0.71429,0.38583,0.33539,0.52993,261841.6,1
H000124,0.22562,0.48707,0.50263,0.35,0.0,0.0,36.65,0,0,0,0.86149,0.14286,0.38596,0.67514,0.53962,144239.07,1
H000125,0.23881,0.62752,0.84453,0.0,2.76,0.0,26.49,0,0,0,0.7001,0.85714,0.62469,0.51894,0.33983,696138.79,1
H000126,0.41882,0.89712,0.65221,11.42,0.0,12.31,23.74,0,0,0,0.81095,0.28571,0.85675,0.3867,0.44284,1580506.76,1
H000127,0.26566,0.92473,0.85896,5.68,0.0,0.0,25.32,0,0,0,0.6942,0.85714,0.44747,0.60469,0.32751,511316.24,0
H000128,0.37114,0.68562,0.73318,4.77,0.35,7.09,0.0,0,0,0,0.78942,0.71429,0.46764,0.80183,0.20632,163712.51,0
H000129,0.23373,0.72913,0.79424,8.04,0.0,0.0,34.31,0,0,0,0.92818,0.14286,0.23041,0.38952,0.38225,99335.75,0
H000130,0.08818,0.88652,0.77149,2.38,5.76,0.0,9.3,0,0,0,0.69489,0.28571,0.51019,0.34811,0.48675,268113.39,0
H000131,0.34369,0.89501,0.7182,2.04,0.0,3.2,17.64,0,0,0,0.79988,0.42857,0.60444,0.33245,0.49894,295264.49,0
H000132,0.1137,0.69361,0.71396,0.0,5.4,5.45,16.96,0,0,0,0.77351,0.0,0.64362,0.53319,0.25236,195196.62,0
H000133,0.25854,0.66472,0.91957,10.98,0.0,16.28,9.21,0,0,0,0.99094,0.42857,0.53369,0.56633,0.0,402612.58,0
H000134,0.09377,0.87039,0.91765,3.62,0.65,9.74,10.39,0,0,0,1.0,0.42857,0.49593,0.39317,0.32076,263202.61,0
H000135,0.06561,0.68178,0.50623,12.99,1.17,8.02,4.35,0,0,0,0.86745,0.0,0.79948,0.31223,0.2896,91294.95,0
H000136,0.13603,0.93809,0.84284,0.0,4.4,0.0,30.14,0,0,0,0.75385,0.57143,0.29297,0.63337,0.10394,858793.4,0
H000137,0.27557,0.85364,0.91217,3.59,4.19,4.17,11.9,0,0,0,0.63541,0.71429,0.4705,0.65098,0.33138,159840.71,0
H000138,0.36963,0.86031,0.89811,0.0,5.66,0.0,4.47,1,0,0,0.79937,0.57143,0.70882,0.36592,0.20897,475697.86,1
H000139,0.15061,0.85794,0.57696,8.09,4.5,16.49,36.73,0,0,0,0.78155,0.28571,0.6109,0.8595,0.36744,980421.43,1
H000140,0.29979,0.7784,0.77922,1.18,4.55,0.0,10.87,0,0,0,0.83946,0.28571,0.58218,0.40226,0.48835,1564918.02,1
H000141,0.20203,0.63157,0.76671,3.76,0.0,6.26,0.0,0,0,0,0.63916,0.28571,0.75337,0.60954,0.38588,399514.93,0
H000142,0.30494,0.76264,0.80821,0.0,4.31,8.7,48.93,0,0,1,1.0,0.85714,0.53721,0.57165,0.12701,350674.87,1
H000143,0.30491,0.88324,0.86859,1.49,3.53,1.92,25.97,0,1,0,0.86845,0.28571,0.39119,0.47418,0.37634,5492416.45,0
H000144,0.0598,0.51501,0.65861,9.61,6.93,0.0,19.58,0,0,0,0.88301,1.0,0.72484,0.47423,0.65533,1747522.9,1
H000145,0.16179,0.45251,0.61782,0.0,4.33,0.0,18.31,0,0,0,0.95226,0.14286,0.71235,1.0,0.43522,221502.94,1
H000146,0.19753,0.62354,0.46574,3.26,0.73,0.0,4.84,0,0,0,0.87089,0.14286,0.78111,0.4979,0.10098,173040.6,0
H000147,0.15105,0.8185,0.75089,7.99,1.77,0.0,29.14,0,0,0,0.85134,0.71429,0.4003,0.32005,0.17412,75851.47,0
H000148,0.22252,0.85127,0.41775,0.0,0.45,6.13,13.84,1,0,0,0.73361,0.42857,0.74651,0.53271,0.472,571212.97,1
H000149,0.2,0.94216,0.62676,6.62,0.44,7.94,6.29,0,0,0,0.83659,0.0,0.2492,0.3326,0.13022,114691.2,0
H000150,0.29325,0.94769,0.86852,2.62,0.0,1.94,34.08,0,0,0,0.76083,0.85714,0.59351,0.45623,0.22281,853331.78,0
H000151,0.3675,0.70258,0.66195,0.28,2.44,14.91,26.22,0,0,0,0.87526,0.0,0.5137,0.55338,0.5705,280850.95,0
H000152,0.20081,0.76698,0.87345,5.06,6.51,1.46,35.73,0,0,0,0.70217,0.71429,0.25918,0.56841,0.29339,2074368.29,0
H000153,0.18823,0.86942,0.86726,0.0,5.4,4.18,62.1,0,0,0,1.0,0.0,0.33313,1.0,0.16895,245011.95,0
H000154,0.33432,0.78594,0.74064,0.0,0.0,0.61,8.15,0,0,0,0.94725,0.28571,0.48299,0.3823,0.12695,534089.87,0
H000155,0.14936,0.91692,0.74359,4.73,2.01,3.2,9.56,0,0,0,0.88789,1.0,0.73404,0.63363,0.40971,275084.63,0
H000156,0.08113,0.80658,0.86616,2.5,0.0,0.0,12.84,0,0,0,0.85644,0.42857,0.53569,0.32075,0.29882,977082.13,0
H000157,0.07702,0.86627,0.79261,0.0,3.33,11.71,36.14,0,0,0,0.72751,0.28571,0.6762,0.09102,0.43003,185884.76,0
H000158,0.23265,0.7101,0.91437,0.0,7.37,5.21,10.77,0,0,0,0.7707,1.0,0.83705,0.50649,0.43029,445396.5,0
H000159,0.16196,0.74321,0.91114,3.55,2.45,0.0,7.75,0,0,0,0.91113,0.57143,0.57603,0.2815,0.14258,862940.5,0
H000160,0.46399,0.932,0.9023,1.9,5.67,0.0,14.19,0,0,0,0.59584,1.0,0.21637,0.49138,0.07798,1886599.77,0
H000161,0.15145,0.6921,0.90052,3.64,3.31,0.0,24.25,0,0,0,0.80852,0.71429,0.60651,0.2489,0.22498,98641.64,0
H000162,0.29499,0.65513,0.82883,7.44,0.0,0.0,42.1,0,0,0,0.78117,0.71429,0.84013,0.49978,0.30811,532791.63,0
H000163,0.0502,0.88529,0.51417,7.53,0.0,2.1,24.76,0,0,0,0.79245,0.28571,0.77622,0.83371,0.52454,413708.82,0
H000164,0.10982,0.62008,0.67374,2.37,1.76,12.22,7.94,0,0,0,0.97944,0.57143,0.63893,0.90717,0.36272,581430.44,1
H000165,0.24081,0.88505,0.74087,0.0,8.06,0.31,16.7,1,0,0,0.8021,0.85714,0.62819,0.66785,0.53865,1027478.84,0
H000166,0.15378,0.65427,0.67507,1.47,0.0,3.07,29.31,0,0,0,0.69506,0.71429,0.7454,0.64982,0.0,419472.93,0
H000167,0.19025,0.46335,0.55708,0.0,3.73,0.0,4.12,0,0,0,0.90272,0.85714,0.37077,0.35633,0.25248,633706.62,0
H000168,0.52613,0.76451,0.65228,4.62,0.0,0.97,13.5,0,0,0,0.84685,0.28571,0.27041,0.41165,0.15248,204054.03,0
H000169,0.26879,0.77727,0.95701,2.99,1.77,0.0,1.65,0,0,1,0.69425,0.71429,0.67446,0.48658,0.14155,399189.24,1
H000170,0.32971,0.6568,0.93821,9.28,0.0,0.0,0.0,0,0,0,0.8904,0.42857,0.42843,0.65765,0.54551,944925.34,0
H000171,0.26223,0.92536,0.69784,11.09,1.23,0.0,19.41,0,0,0,0.82408,0.14286,0.15,0.42978,0.11488,607476.99,0
H000172,0.01571,0.8791,0.72714,0.0,0.0,0.0,43.27,1,0,0,1.0,0.57143,0.71816,0.66023,0.42816,226552.6,0
H000173,0.30873,0.93166,0.62164,0.0,3.47,5.28,43.27,0,0,0,0.89422,0.85714,0.64858,0.29257,0.35046,131909.58,0
H000174,0.33952,0.74066,0.70401,0.0,0.0,1.71,30.58,0,0,0,0.66536,0.42857,0.64169,0.51114,0.08122,229948.88,0
H000175,0.44289,0.84921,0.78593,9.7,6.12,9.51,35.04,0,0,0,0.98696,0.57143,0.42059,0.45063,0.57427,145076.82,0
H000176,0.28328,0.95967,0.95132,4.26,4.84,0.45,11.93,0,0,0,0.94173,0.57143,0.69361,0.60821,0.36233,517014.38,0
H000177,0.16198,0.86309,0.55757,4.12,0.0,19.88,18.83,0,0,0,0.94386,0.57143,0.51637,0.28754,0.46886,1638353.4,1
H000178,0.52635,0.65565,0.93057,2.56,0.05,6.41,41.91,0,0,0,0.7404,1.0,0.54325,0.57915,0.31317,315888.27,0
H000179,0.14877,0.76377,0.61602,8.36,0.0,2.97,41.12,1,0,0,0.86335,0.28571,0.51056,0.58087,0.26374,758887.42,1
H000180,0.09425,0.93619,0.94573,6.34,2.79,2.7,8.31,0,0,0,0.78413,0.85714,0.53519,0.54675,0.28853,441475.33,0
H000181,0.36323,0.91454,0.94985,0.0,1.81,0.0,0.0,0,1,0,0.94909,0.14286,0.72064,0.21837,0.07622,391331.5,0
H000182,0.06717,0.82803,0.6843,8.48,2.5,7.13,23.05,0,0,0,0.8353,0.42857,0.21653,0.57539,0.16271,1067389.93,0
H000183,0.37707,0.90621,0.88613,2.2,0.75,11.45,41.64,0,0,0,0.96341,0.28571,0.4286,0.29386,0.21236,230275.06,0
H000184,0.1603,0.85978,0.92251,2.21,0.0,0.0,25.21,0,0,0,0.79004,0.0,0.5821,0.46142,0.1477,237066.38,0
H000185,0.06045,0.91576,0.61417,9.54,1.84,0.0,34.22,0,0,0,0.78702,0.42857,0.35827,0.56121,0.2481,4370864.84,1
H000186,0.43221,0.78682,0.70731,0.0,0.0,5.39,43.61,0,0,0,0.79896,0.14286,0.45599,0.37163,0.46159,455617.6,1
H000187,0.47431,0.9086,0.79138,5.35,2.69,5.52,23.86,0,0,0,0.9633,0.28571,0.60507,0.3134,0.35067,469809.75,0
H000188,0.37684,0.75959,0.83148,0.6,7.81,5.91,28.51,0,0,0,0.76574,0.28571,0.55626,0.71993,0.08586,599329.0,1
