asset_id,shipment_created,shipment_delay_days,location,ts,source
A1088,False,2.28,supplier_facility,1787447079.856273,logistics
A1089,True,5.52,customer_dc,1787593970.856277,logistics
A1090,False,3.77,in_transit,1785610191.85628,logistics
A1091,True,5.75,customer_dc,1786358154.8562849,logistics
A1092,False,1.24,supplier_facility,1786915816.856289,logistics
A1093,False,6.18,in_transit,1787366185.8562932,logistics
A1094,True,3.27,supplier_facility,1786491376.856298,logistics
A1095,False,3.02,customer_dc,1786902934.856301,logistics
A1096,True,6.33,supplier_facility,1786671494.8563058,logistics
A1097,True,4.21,in_transit,1785984994.856309,logistics
A1098,False,2.38,in_transit,1785615594.856313,logistics
A1099,False,0,customer_dc,1787324092.856318,logistics
A1100,False,2.44,supplier_facility,1787169657.856322,logistics
A1101,False,2.92,regional_hub,1787540187.8563251,logistics
A1102,True,2.15,regional_hub,1787870282.85633,logistics
A1103,False,1.64,in_transit,1787696337.856334,logistics
A1104,True,1.47,customer_dc,1786909471.856338,logistics
A1105,False,7.66,customer_dc,1785625790.856342,logistics
A1106,False,0.99,regional_hub,1785894143.8563461,logistics
A1107,False,3.28,in_transit,1785926844.85635,logistics
A1108,True,2.86,supplier_facility,1785988973.856354,logistics
A1109,True,0,customer_dc,1785655743.8563578,logistics
A1110,True,6.0,regional_hub,1785790425.8563619,logistics
A1111,False,8.05,supplier_facility,1786591153.856367,logistics
A1112,True,0.72,in_transit,1786112653.856371,logistics
A1113,False,0,customer_dc,1785435679.856375,logistics
A1114,False,0.9,customer_dc,1786167335.8563788,logistics
A1115,False,2.99,in_transit,1785880709.856383,logistics
A1116,True,0.36,customer_dc,1785650804.856386,logistics
A1117,False,4.27,regional_hub,1787243379.856392,logistics
A1118,True,11.41,in_transit,1787400149.856396,logistics
A1119,False,1.66,in_transit,1786031081.856401,logistics
A1120,True,0,supplier_facility,1787276926.856405,logistics
A1121,True,0,in_transit,1787567839.856409,logistics
A1122,False,0,supplier_facility,1786316308.856413,logistics
A1123,True,2.18,regional_hub,1786602433.856417,logistics
A1124,False,2.28,customer_dc,1785860247.8564212,logistics
A1125,True,0,customer_dc,1786166553.856426,logistics
A1126,False,1.02,supplier_facility,1787685881.856431,logistics
A1127,False,3.19,in_transit,1787437191.856435,logistics
A1128,True,3.49,supplier_facility,1787736848.856439,logistics
A1129,False,2.74,regional_hub,1787453153.8564422,logistics
A1130,False,8.35,in_transit,1785629121.856447,logistics
A1131,False,0,supplier_facility,1787538574.856451,logistics
A1132,True,0,customer_dc,1786280594.8564548,logistics
A1133,True,0.9,supplier_facility,1785398322.856459,logistics
A1134,False,1.71,in_transit,1787415745.8564632,logistics
A1135,True,0,regional_hub,1787242159.856467,logistics
A1136,True,3.51,in_transit,1787084970.856471,logistics
A1137,True,6.62,supplier_facility,1785475729.8564749,logistics
A1138,False,4.71,in_transit,1785461964.856479,logistics
A1139,False,3.05,regional_hub,1787410244.856483,logistics
A1140,False,0,supplier_facility,1786121598.8564868,logistics
A1141,True,0,supplier_facility,1786543335.856492,logistics
A1142,False,0,regional_hub,1786195834.856496,logistics
A1143,True,0.3,customer_dc,1786507689.8565,logistics
A1144,False,0.77,supplier_facility,1786429730.856504,logistics
A1145,False,5.84,in_transit,1786379374.856508,logistics
A1146,True,3.69,regional_hub,1785530219.856512,logistics
A1147,True,2.43,regional_hub,1787096246.8565161,logistics
A1148,False,0,regional_hub,1786739596.856521,logistics
A1149,True,2.1,supplier_facility,1787865494.856525,logistics
A1150,False,5.68,regional_hub,1785896783.856529,logistics
A1151,False,2.49,regional_hub,1787437996.856533,logistics
A1152,False,6.14,customer_dc,1786796538.856537,logistics
A1153,False,6.1,regional_hub,1785484440.856541,logistics
A1154,False,3.01,regional_hub,1787694226.856545,logistics
A1155,False,6.56,supplier_facility,1786421511.856549,logistics
A1156,False,0,regional_hub,1785980383.856554,logistics
A1157,True,4.44,regional_hub,1786616148.856558,logistics
A1158,True,3.26,regional_hub,1786321011.856562,logistics
A1159,False,2.19,supplier_facility,1787758600.856566,logistics
A1160,True,7.61,in_transit,1786347885.856571,logistics
A1161,False,3.72,supplier_facility,1786193674.856575,logistics
A1162,True,3.05,in_transit,1787580652.856579,logistics
A1163,True,1.59,customer_dc,1787909788.8565829,logistics
A1164,False,0,in_transit,1787401763.8565881,logistics
A1165,False,1.22,customer_dc,1787688306.856592,logistics
A1166,True,4.61,in_transit,1787894314.856597,logistics
A1167,False,0.95,customer_dc,1786071617.856601,logistics
A1168,True,0.25,supplier_facility,1786422989.8566048,logistics
A1169,True,2.06,regional_hub,1787046109.856611,logistics
A1170,True,5.93,regional_hub,1785498524.8566148,logistics
A1171,True,0.58,in_transit,1785628467.8566191,logistics
A1172,True,5.29,supplier_facility,1786175140.8566232,logistics
A1173,False,3.47,in_transit,1785337409.856627,logistics
A1174,True,0,regional_hub,1785453690.856632,logistics
A1175,False,4.27,regional_hub,1787754034.8566358,logistics
A1176,False,0.37,in_transit,1786565536.856642,logistics
A1177,False,0,in_transit,1785785988.8566458,logistics
A1178,True,0,in_transit,1787312663.856651,logistics
A1179,True,0,regional_hub,1785486938.8566551,logistics
A1180,True,0,regional_hub,1787353260.856658,logistics
A1181,False,1.72,in_transit,1787275265.856663,logistics
A1182,False,4.03,supplier_facility,1787632357.8566668,logistics
A1183,True,0.18,regional_hub,1785983830.856671,logistics
A1184,True,1.46,regional_hub,1785464765.8566751,logistics
A1185,False,2.62,customer_dc,1785897196.85668,logistics
A1186,True,0,customer_dc,1785516200.856684,logistics
A1187,False,1.0,supplier_facility,1787048789.856688,logistics
A1188,False,9.0,in_transit,1785535685.856692,logistics
A1189,True,3.01,regional_hub,1785779085.8566961,logistics
A1190,False,4.07,supplier_facility,1787545089.8567,logistics
A1191,False,0,customer_dc,1786162125.856704,logistics
A1192,True,2.4,supplier_facility,1785574758.856708,logistics
A1193,True,3.6,supplier_facility,1786048402.8567119,logistics
A1194,False,2.48,in_transit,1787614646.856716,logistics
A1195,True,3.34,in_transit,1785355663.85672,logistics
A1196,True,0.91,regional_hub,1786765399.856724,logistics
A1197,True,1.38,customer_dc,1785588256.856728,logistics
A1198,False,1.98,regional_hub,1786916289.856731,logistics
A1199,False,0.28,regional_hub,1786428269.856735,logistics
A1200,True,2.77,regional_hub,1785832023.85674,logistics
A1201,False,0,customer_dc,1786367177.856745,logistics
A1202,False,5.07,customer_dc,1786677522.85675,logistics
A1203,False,7.0,in_transit,1785527256.8567538,logistics
A1204,True,2.59,customer_dc,1787252881.856758,logistics
A1205,True,1.07,in_transit,1787585741.8567622,logistics
A1206,False,0,supplier_facility,1787795706.856767,logistics
A1207,True,2.47,supplier_facility,1786494227.856771,logistics
A1208,True,0,customer_dc,1786725350.8567748,logistics
A1209,True,5.86,supplier_facility,1786189712.856779,logistics
A1210,True,0.22,customer_dc,1786539993.8567839,logistics
A1211,False,0,in_transit,1786289457.856788,logistics
A1212,False,0,regional_hub,1786293816.856792,logistics
A1213,True,0,in_transit,1785615665.8567958,logistics
A1214,False,5.68,in_transit,1787650667.856801,logistics
A1215,True,1.2,customer_dc,1785350284.856805,logistics
A1216,True,3.27,regional_hub,1787899069.856809,logistics
A1217,True,1.62,customer_dc,1785555887.856813,logistics
A1218,False,0,supplier_facility,1786606901.856817,logistics
A1219,False,0.0,customer_dc,1785617325.856822,logistics
A1220,False,0.99,regional_hub,1785424976.856826,logistics
A1221,True,3.2,regional_hub,1786585846.85683,logistics
A1222,True,7.74,supplier_facility,1785816758.856834,logistics
A1223,False,2.58,customer_dc,1786421913.856838,logistics
A1224,True,3.4,regional_hub,1786722118.856842,logistics
A1225,True,1.48,customer_dc,1786868095.856846,logistics
A1226,False,8.77,regional_hub,1785587863.8568509,logistics
A1227,False,0,in_transit,1786520401.8568552,logistics
A1228,True,1.72,regional_hub,1787356683.856859,logistics
A1229,False,3.15,regional_hub,1786674422.856863,logistics
A1230,False,4.03,regional_hub,1785839854.856867,logistics
A1231,True,0.42,regional_hub,1786142658.856871,logistics
A1232,True,5.64,customer_dc,1787146866.856875,logistics
A1233,False,3.35,in_transit,1787835068.8568802,logistics
A1234,True,3.79,supplier_facility,1786369263.856884,logistics
A1235,False,1.84,supplier_facility,1787877553.856888,logistics
A1236,False,0,customer_dc,1787767537.8568919,logistics
A1237,False,0.29,customer_dc,1786386464.856896,logistics
A1238,True,3.92,regional_hub,1786155564.8569002,logistics
A1239,True,0,regional_hub,1785365968.856904,logistics
A1240,False,6.36,in_transit,1787132996.856908,logistics
A1241,True,5.04,supplier_facility,1785610975.856912,logistics
A1242,True,0,regional_hub,1787571900.856916,logistics
A1243,True,6.54,supplier_facility,1787523860.85692,logistics
A1244,False,0,regional_hub,1786764804.8569238,logistics
A1245,True,5.07,customer_dc,1787737595.856928,logistics
A1246,False,0.13,regional_hub,1785968289.856933,logistics
A1247,True,3.15,customer_dc,1786255986.856938,logistics
A1248,False,0.9,customer_dc,1785666445.8569422,logistics
A1249,True,0.71,customer_dc,1786584307.8569448,logistics
A1250,False,1.82,regional_hub,1785558444.856949,logistics
A1251,True,2.28,supplier_facility,1786619634.856954,logistics
A1252,True,0.1,supplier_facility,1785415195.856958,logistics
A1253,True,3.62,customer_dc,1786386426.856962,logistics
A1254,False,0,regional_hub,1786027997.856967,logistics
A1255,True,0,customer_dc,1786736564.856971,logistics
A1256,False,0.61,regional_hub,1786501548.856975,logistics
A1257,False,0,supplier_facility,1786328557.856979,logistics
A1258,False,6.73,regional_hub,1785488268.8569841,logistics
A1259,False,0,in_transit,1787425536.856988,logistics
A1260,True,1.7,customer_dc,1786765729.856993,logistics
A1261,True,10.67,in_transit,1787651710.856997,logistics
A1262,True,0,supplier_facility,1785670492.857001,logistics
A1263,True,6.3,customer_dc,1787098407.8570051,logistics
A1264,False,3.16,in_transit,1785710850.857009,logistics
A1265,False,2.54,supplier_facility,1786918072.857013,logistics
A1266,False,1.67,supplier_facility,1786579617.857017,logistics
A1267,False,0,customer_dc,1787285090.8570209,logistics
A1268,True,0,in_transit,1785427811.857025,logistics
A1269,True,4.14,customer_dc,1787484946.8570292,logistics
A1270,False,0.75,customer_dc,1785453565.857033,logistics
A1271,False,4.37,customer_dc,1786332975.857037,logistics
A1272,False,0,regional_hub,1785500339.857041,logistics
A1273,True,0,supplier_facility,1786154051.8570461,logistics
A1274,False,0,customer_dc,1786049816.8570502,logistics
A1275,True,0,in_transit,1786531551.857054,logistics
A1276,True,7.09,customer_dc,1786836176.857058,logistics
A1277,False,0,in_transit,1787160344.8570619,logistics
A1278,False,0.76,in_transit,1786720446.857066,logistics
A1279,False,2.48,supplier_facility,1786394085.85707,logistics
A1280,True,1.4,in_transit,1787089873.857074,logistics
A1281,True,5.91,regional_hub,1786692701.857078,logistics
A1282,True,6.36,regional_hub,1787694329.8570821,logistics
A1283,False,0,supplier_facility,1786393789.857086,logistics
A1284,False,0,regional_hub,1787575778.8570912,logistics
A1285,True,0,regional_hub,1786845009.857096,logistics
A1286,True,0.95,regional_hub,1787441586.857101,logistics
A1287,False,0,regional_hub,1786613274.857106,logistics
A1288,True,0.07,supplier_facility,1786174679.857111,logistics
A1289,False,0,regional_hub,1787003634.8571148,logistics
A1290,True,1.24,supplier_facility,1785482171.857119,logistics
A1291,True,2.88,regional_hub,1787208286.8571231,logistics
A1292,True,3.71,supplier_facility,1785620775.857128,logistics
A1293,False,0.46,in_transit,1786109407.857132,logistics
A1294,True,2.52,regional_hub,1786463976.857136,logistics
A1295,True,0,regional_hub,1787316933.85714,logistics
A1296,False,4.53,customer_dc,1786323296.857144,logistics
A1297,True,0,supplier_facility,1785954241.857148,logistics
A1298,False,4.48,in_transit,1786444255.857152,logistics
A1299,False,4.09,in_transit,1786619199.857156,logistics
A1300,True,4.41,customer_dc,1786748700.8571599,logistics
A1301,True,0.02,in_transit,1786138198.8571641,logistics
A1302,True,5.59,regional_hub,1785575892.857168,logistics
A1303,True,2.93,regional_hub,1786226431.857172,logistics
A1304,False,5.76,regional_hub,1785894588.857175,logistics
A1305,False,3.95,regional_hub,1785842890.857179,logistics
A1306,True,4.11,customer_dc,1787451362.857183,logistics
A1307,False,3.49,supplier_facility,1786871371.857188,logistics
A1308,False,0,customer_dc,1786150025.857192,logistics
A1309,False,3.22,in_transit,1785430072.857197,logistics
A1310,True,1.29,supplier_facility,1786014406.8572009,logistics
A1311,True,2.83,regional_hub,1785881265.857205,logistics
A1312,True,0,in_transit,1786320260.8572092,logistics
A1313,True,6.56,customer_dc,1787209085.857214,logistics
A1314,True,0,customer_dc,1786118982.857218,logistics
A1315,False,0,supplier_facility,1786001573.8572218,logistics
A1316,False,4.08,in_transit,1787536812.857226,logistics
A1317,True,8.03,supplier_facility,1787056620.8572302,logistics
A1318,True,1.65,regional_hub,1787430115.857234,logistics
A1319,False,0,regional_hub,1786111584.857238,logistics
A1320,False,6.63,in_transit,1786885828.857242,logistics
A1321,False,0,in_transit,1787601011.857246,logistics
A1322,False,3.4,customer_dc,1787446572.85725,logistics
A1323,True,2.41,regional_hub,1787157275.857253,logistics
A1324,False,5.9,supplier_facility,1785887123.857257,logistics
A1325,True,4.53,in_transit,1786948873.857261,logistics
A1326,True,2.78,supplier_facility,1785417766.857266,logistics
A1327,False,2.0,regional_hub,1787498336.85727,logistics
A1328,False,2.25,customer_dc,1787725782.857274,logistics
A1329,True,0.43,supplier_facility,1787277993.857279,logistics
A1330,True,0.34,in_transit,1785732442.857284,logistics
A1331,False,0.53,customer_dc,1787773174.857288,logistics
A1332,False,6.13,regional_hub,1786484270.8572931,logistics
A1333,False,0.11,customer_dc,1786941704.857297,logistics
A1334,False,0,in_transit,1786459336.857301,logistics
A1335,False,0,regional_hub,1785721481.857305,logistics
A1336,False,0,in_transit,1787296123.8573089,logistics
A1337,True,0,customer_dc,1785650219.857314,logistics
A1338,False,3.2,supplier_facility,1787579342.857318,logistics
A1339,True,0,supplier_facility,1785544178.857322,logistics
A1340,False,6.38,customer_dc,1786528075.857326,logistics
A1341,False,3.72,supplier_facility,1786590005.8573298,logistics
A1342,True,5.86,regional_hub,1786803419.857334,logistics
A1343,True,0,regional_hub,1786465603.857339,logistics
A1344,False,0.55,regional_hub,1786026319.857343,logistics
A1345,True,0,in_transit,1785413876.8573482,logistics
A1346,False,0.02,in_transit,1787906028.857352,logistics
A1347,True,3.59,supplier_facility,1787134873.857356,logistics
A1348,False,2.8,supplier_facility,1787728172.85736,logistics
A1349,False,1.99,in_transit,1787804650.857364,logistics
A1350,True,2.83,regional_hub,1786374647.857368,logistics
A1351,False,2.15,regional_hub,1786045012.8573718,logistics
A1352,True,0,regional_hub,1787347715.857376,logistics
A1353,True,0.99,customer_dc,1786169304.8573802,logistics
A1354,False,0,customer_dc,1785852272.857384,logistics
A1355,True,7.02,in_transit,1787737406.857388,logistics
A1356,True,8.96,regional_hub,1787220821.8573928,logistics
A1357,True,0.38,regional_hub,1787412751.857397,logistics
A1358,False,10.08,customer_dc,1786810476.8574011,logistics
A1359,False,4.82,regional_hub,1785977344.857405,logistics
A1360,False,2.49,regional_hub,1786901681.85741,logistics
A1361,False,0,in_transit,1786279498.857414,logistics
A1362,False,1.43,in_transit,1786357150.8574169,logistics
A1363,True,2.8,in_transit,1787280529.8574212,logistics
A1364,False,0,supplier_facility,1787823388.857425,logistics
A1365,False,5.04,in_transit,1787269980.85743,logistics
A1366,True,5.86,supplier_facility,1786295605.857435,logistics
A1367,False,4.01,supplier_facility,1787501813.857439,logistics
A1368,False,2.3,customer_dc,1787667749.857443,logistics
A1369,True,0.26,in_transit,1787186021.857447,logistics
A1370,True,3.01,supplier_facility,1786386183.857451,logistics
A1371,False,0.03,in_transit,1786148496.857455,logistics
A1372,False,0,supplier_facility,1786890043.85746,logistics
A1373,True,0.36,regional_hub,1787864981.857465,logistics
A1374,True,2.64,regional_hub,1786604103.8574688,logistics
A1375,True,1.35,in_transit,1785891859.8574731,logistics
A1376,False,0,customer_dc,1786742700.8574772,logistics
A1377,False,0.94,in_transit,1786856797.857481,logistics
A1378,False,3.95,customer_dc,1786339587.857485,logistics
A1379,True,2.47,customer_dc,1786305352.8574889,logistics
A1380,True,0.39,regional_hub,1786275221.857493,logistics
A1381,False,0.71,customer_dc,1786632890.857497,logistics
A1382,True,2.42,supplier_facility,1787146534.857501,logistics
A1383,False,3.43,in_transit,1785507403.857505,logistics
A1384,True,0,customer_dc,1786370282.8575091,logistics
A1385,False,3.24,supplier_facility,1787880604.857513,logistics
A1386,False,0,in_transit,1787403267.8575182,logistics
A1387,True,1.06,in_transit,1786774450.857522,logistics
A1388,False,4.39,customer_dc,1785579177.857526,logistics
A1389,False,1.21,in_transit,1786580877.85753,logistics
A1390,True,3.71,customer_dc,1785442070.857534,logistics
A1391,False,3.26,customer_dc,1787701077.857538,logistics
A1392,False,7.26,in_transit,1786678578.857543,logistics
A1393,True,3.53,customer_dc,1787429368.857547,logistics
A1394,True,0,supplier_facility,1786796017.857551,logistics
A1395,False,2.84,in_transit,1786706130.857555,logistics
A1396,False,0.95,regional_hub,1787199796.857559,logistics
A1397,False,4.38,supplier_facility,1785747335.857564,logistics
A1398,False,0.5,regional_hub,1787572364.857568,logistics
A1399,False,5.14,supplier_facility,1787617995.857572,logistics
A1400,False,0,customer_dc,1785644221.8575768,logistics
A1401,False,2.92,regional_hub,1787714226.8575811,logistics
A1402,False,4.33,regional_hub,1787528829.857586,logistics
A1403,False,5.33,supplier_facility,1786915197.85759,logistics
A1404,False,0,in_transit,1787060293.857594,logistics
A1405,True,3.08,customer_dc,1786454717.857598,logistics
A1406,True,3.65,regional_hub,1787904387.857604,logistics
A1407,True,3.46,supplier_facility,1785820209.8576078,logistics
A1408,False,0,regional_hub,1786845029.8576121,logistics
A1409,False,0,in_transit,1786227628.857616,logistics
A1410,True,1.52,customer_dc,1786778883.85762,logistics
A1411,False,0,regional_hub,1785506711.857624,logistics
A1412,False,0.48,supplier_facility,1786422391.8576288,logistics
A1413,False,0,regional_hub,1787241723.857633,logistics
A1414,True,3.44,customer_dc,1785605668.8576362,logistics
A1415,False,0,regional_hub,1786585138.857641,logistics
A1416,True,3.98,customer_dc,1786411368.857646,logistics
A1417,False,2.19,in_transit,1787508345.8576498,logistics
A1418,True,8.72,customer_dc,1787583187.857654,logistics
A1419,True,3.21,supplier_facility,1786732836.8576581,logistics
A1420,False,0,regional_hub,1786492721.857663,logistics
A1421,True,1.54,regional_hub,1786306676.857667,logistics
A1422,True,0.17,regional_hub,1787588003.857671,logistics
A1423,True,0,supplier_facility,1787701639.857675,logistics
A1424,False,0,regional_hub,1787192413.8576791,logistics
A1425,True,2.9,regional_hub,1786982529.857683,logistics
A1426,True,0,in_transit,1787262633.857687,logistics
A1427,True,3.32,customer_dc,1786938718.8576908,logistics
A1428,False,0.73,supplier_facility,1785818873.8576949,logistics
A1429,False,0,customer_dc,1787753730.8577,logistics
A1430,False,0,supplier_facility,1787195195.857704,logistics
A1431,True,0,in_transit,1787600172.857708,logistics
A1432,True,2.78,customer_dc,1786458005.857712,logistics
A1433,False,0.66,in_transit,1787314827.857716,logistics
A1434,True,1.96,customer_dc,1786161115.8577201,logistics
A1435,False,1.01,in_transit,1785505996.857725,logistics
A1436,True,5.2,supplier_facility,1787029786.857729,logistics
A1437,False,6.51,supplier_facility,1785730823.857733,logistics
A1438,False,4.12,customer_dc,1787559988.857737,logistics
A1439,False,5.0,regional_hub,1787900458.857741,logistics
A1440,True,0,customer_dc,1786537687.857745,logistics
A1441,True,1.46,customer_dc,1785631303.85775,logistics
A1442,True,0.08,regional_hub,1786934090.857753,logistics
A1443,True,0,customer_dc,1787078057.857758,logistics
A1444,False,0,supplier_facility,1785733184.857762,logistics
A1445,False,0,customer_dc,1785991433.857766,logistics
A1446,False,3.03,customer_dc,1786588228.857771,logistics
A1447,True,2.7,in_transit,1786142178.8577752,logistics
A1448,True,4.15,supplier_facility,1785517842.857779,logistics
A1449,True,3.84,supplier_facility,1786017145.857783,logistics
A1450,True,3.0,regional_hub,1785873953.857787,logistics
A1451,False,1.3,supplier_facility,1786547451.857792,logistics
A1452,False,0,regional_hub,1786585762.8577962,logistics
A1453,True,0,customer_dc,1787511906.8578,logistics
A1454,False,8.07,in_transit,1787495348.857804,logistics
A1455,True,0,regional_hub,1786156292.8578079,logistics
A1456,True,0,in_transit,1786235511.857812,logistics
A1457,True,1.55,regional_hub,1787142977.8578181,logistics
A1458,True,0.91,in_transit,1787321143.857822,logistics
A1459,True,0,supplier_facility,1787448602.857826,logistics
A1460,True,6.67,regional_hub,1785711549.8578298,logistics
A1461,True,0,supplier_facility,1785748755.857835,logistics
A1462,False,1.69,regional_hub,1787589632.857839,logistics
A1463,True,0,customer_dc,1786594178.857843,logistics
A1464,True,2.34,supplier_facility,1785967833.857847,logistics
A1465,False,1.38,supplier_facility,1785766872.8578508,logistics
A1466,True,5.01,customer_dc,1785571351.857854,logistics
A1467,False,0.14,supplier_facility,1785910690.8578591,logistics
A1468,False,1.0,regional_hub,1786714719.857863,logistics
A1469,False,0.91,in_transit,1785962612.857867,logistics
A1470,False,1.33,in_transit,1787393121.8578718,logistics
A1471,True,1.98,customer_dc,1786170513.857876,logistics
A1472,False,2.65,customer_dc,1787110093.85788,logistics
A1473,True,1.69,in_transit,1785835238.857884,logistics
A1474,False,2.51,in_transit,1786899585.857888,logistics
A1475,True,1.35,supplier_facility,1787112951.857892,logistics
A1476,True,1.56,in_transit,1787389343.8578959,logistics
A1477,True,0.37,supplier_facility,1785648998.857901,logistics
A1478,True,3.22,customer_dc,1787390072.857905,logistics
A1479,False,0,in_transit,1786064807.857908,logistics
A1480,True,5.85,supplier_facility,1787417514.857912,logistics
A1481,True,0,in_transit,1786066403.8579159,logistics
A1482,True,2.61,regional_hub,1786502332.85792,logistics
A1483,False,4.71,customer_dc,1786878028.8579252,logistics
A1484,False,2.77,customer_dc,1786832963.85793,logistics
A1485,False,4.34,in_transit,1787882752.857933,logistics
A1486,False,2.17,customer_dc,1786360685.8579378,logistics
A1487,True,7.34,supplier_facility,1786337551.857942,logistics
A1488,True,0,regional_hub,1786971131.8579462,logistics
A1489,True,0,supplier_facility,1786503301.857951,logistics
A1490,False,2.04,supplier_facility,1787224978.857955,logistics
A1491,False,3.55,customer_dc,1786045953.8579588,logistics
A1492,True,2.79,supplier_facility,1786695986.857963,logistics
A1493,True,1.28,regional_hub,1786091406.8579671,logistics
A1494,True,0.49,customer_dc,1786077427.857972,logistics
A1495,False,1.7,customer_dc,1786030390.857976,logistics
A1496,True,5.04,customer_dc,1786739848.85798,logistics
A1497,False,2.67,regional_hub,1786981325.857984,logistics
A1498,False,2.42,customer_dc,1786481706.857988,logistics
A1499,False,0,supplier_facility,1787021221.858082,logistics
A1500,False,8.41,customer_dc,1786474623.8580868,logistics
A1501,False,4.39,customer_dc,1787762200.858092,logistics
